Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9597941370,0.044360,-0.961517,0.377021
9597990791,0.044340,-0.961705,0.387690
9598040212,0.053379,-0.961825,0.387719
9598089629,0.044311,-0.961869,0.398305
9598139048,0.053304,-0.971194,0.398249
9598188466,0.035366,-0.961034,0.355681
9598237875,0.044310,-0.970710,0.376908
9598287280,0.044290,-0.970898,0.387577
9598336688,0.044306,-0.970698,0.376884
9598386105,0.044232,-0.980066,0.387411
9598435513,0.044315,-0.970723,0.376933
9598484930,0.053399,-0.961638,0.377052
9598534350,0.044261,-0.971061,0.398193
9598583771,0.044311,-0.961869,0.398305
9598633196,0.044389,-0.952512,0.387803
9598682605,0.044290,-0.970898,0.387577
9598732020,0.044261,-0.971061,0.398193
9598781434,0.053378,-0.970667,0.366322
9598830848,0.044232,-0.980066,0.387411
9598880260,0.044356,-0.961505,0.376996
9598929682,0.044339,-0.970547,0.366290
9598979100,0.044360,-0.961517,0.377021
9599028522,0.035213,-0.979758,0.376715
9599077938,0.044281,-0.970873,0.387524
9599127358,0.062347,-0.971326,0.398305
9599176780,0.080504,-0.944528,0.430649
9599226203,0.071516,-0.926373,0.452135
9599275626,0.089702,-0.899411,0.473870
9599325030,0.089832,-0.854335,0.527692
9599374441,0.089982,-0.817914,0.549430
9599423854,0.117181,-0.800093,0.560416
9599473272,0.135317,-0.782324,0.582038
9599522694,0.126349,-0.772823,0.571453
9599572119,0.108044,-0.809514,0.581586
9599621538,0.117162,-0.800277,0.571112
9599670953,0.135248,-0.818226,0.528423
9599720374,0.126130,-0.836304,0.517498
9599769795,0.126006,-0.854866,0.527916
9599819208,0.098894,-0.871965,0.474265
9599868624,0.089707,-0.899422,0.473909
9599918038,0.071521,-0.917543,0.473571
9599967447,0.044365,-0.935004,0.441247
9600016857,0.035396,-0.934345,0.409260
9600066270,0.044361,-0.943834,0.419815
9600115683,0.044390,-0.943671,0.409203
9600165106,0.053354,-0.953159,0.419758
9600214520,0.044315,-0.953039,0.419734
9600263933,0.035346,-0.952380,0.387747
9600313338,0.053404,-0.952808,0.398474
9600362747,0.053367,-0.962038,0.398445
9600412159,0.071470,-0.962103,0.387858
9600461564,0.062327,-0.971515,0.408976
9600510978,0.062476,-0.943936,0.409315
9600560388,0.071545,-0.926209,0.441528
9600609801,0.080659,-0.890437,0.495211
9600659217,0.080809,-0.854017,0.516947
9600708662,0.080909,-0.826790,0.538570
9600758034,0.080864,-0.827150,0.559905
9600807445,0.089982,-0.817914,0.549430
9600856856,0.081008,-0.808404,0.538795
9600906273,0.071915,-0.808623,0.560023
9600955684,0.080914,-0.826799,0.538618
9601005095,0.080809,-0.854017,0.516947
9601054512,0.089802,-0.863342,0.516890
9601103928,0.107838,-0.881642,0.495492
9601153348,0.089727,-0.899235,0.463228
9601202772,0.062547,-0.916872,0.441550
9601252194,0.035297,-0.935047,0.451834
9601301615,0.035321,-0.952555,0.398390
9601351031,0.044286,-0.970886,0.387550
9601400435,0.035346,-0.952380,0.387747
9601449843,0.044286,-0.970886,0.387550
9601499249,0.026203,-0.970633,0.387465
9601548665,0.026150,-0.970972,0.408723
9601598079,0.026274,-0.961252,0.376909
9601647494,0.026203,-0.979475,0.366065
9601696912,0.035292,-0.970402,0.366210
9601746329,0.026257,-0.970294,0.366201
9601795749,0.035197,-0.979959,0.387408
9601845170,0.035318,-0.943701,0.419759
9601894597,0.017257,-0.925577,0.451799
9601944014,0.044519,-0.898594,0.463023
9601993429,0.035518,-0.871564,0.505799
9602042848,0.062672,-0.871786,0.495325
9602092271,0.053679,-0.862461,0.495382
9602141687,0.053659,-0.862647,0.506067
9602191097,0.044661,-0.835628,0.548875
9602240511,0.035693,-0.817285,0.559686
9602289924,0.044786,-0.817066,0.538458
9602339348,0.062793,-0.817849,0.570444
9602388757,0.080958,-0.817597,0.538682
9602438163,0.080909,-0.817948,0.559967
9602487576,0.062877,-0.808499,0.560019
9602536986,0.071890,-0.826481,0.527871
9602586398,0.053709,-0.826928,0.570381
9602635802,0.044715,-0.826444,0.549037
9602685209,0.035697,-0.826136,0.538338
9602734621,0.035593,-0.862195,0.495270
9602784024,0.026500,-0.862414,0.516498
9602833435,0.044516,-0.872058,0.527186
9602882851,0.053555,-0.872180,0.527195
9602932275,0.053655,-0.844953,0.548818
9602981698,0.062897,-0.808314,0.549325
9603031121,0.053730,-0.817901,0.581083
9603080532,0.035793,-0.781216,0.602706
9603129944,0.017810,-0.762574,0.602877
9603179364,0.008693,-0.762968,0.634752
9603228785,-0.009397,-0.771536,0.613181
9603278201,0.008664,-0.780818,0.602538
9603327621,0.017657,-0.807827,0.559687
9603377052,0.008617,-0.807703,0.559683
9603426472,0.017536,-0.826398,0.570157
9603475881,0.035718,-0.817109,0.549044
9603525305,0.053705,-0.826918,0.570328
9603574720,0.071871,-0.808983,0.581362
9603624137,0.089977,-0.809063,0.570778
9603673555,0.099001,-0.809381,0.581530
9603722971,0.108194,-0.781934,0.581925
9603772387,0.117262,-0.764208,0.614138
9603821810,0.099275,-0.745557,0.614251
9603871228,0.099350,-0.718505,0.646521
9603920654,0.081294,-0.700387,0.678634
9603970079,0.072345,-0.681862,0.678735
