Timestamp (us),W Element,X Element,Y Element,Z Element
9597896442,-0.053000,-0.053886,-0.765224,-0.639501
9597898941,-0.053012,-0.053881,-0.765207,-0.639522
9597901441,-0.053026,-0.053876,-0.765187,-0.639545
9597903940,-0.053039,-0.053872,-0.765168,-0.639567
9597906440,-0.053050,-0.053867,-0.765147,-0.639591
9597908940,-0.053063,-0.053862,-0.765123,-0.639619
9597911439,-0.053077,-0.053861,-0.765097,-0.639649
9597913939,-0.053090,-0.053862,-0.765073,-0.639677
9597916439,-0.053104,-0.053866,-0.765048,-0.639705
9597918938,-0.053118,-0.053873,-0.765024,-0.639733
9597921438,-0.053128,-0.053883,-0.764999,-0.639761
9597923938,-0.053138,-0.053893,-0.764976,-0.639787
9597926438,-0.053148,-0.053904,-0.764955,-0.639810
9597928937,-0.053163,-0.053915,-0.764934,-0.639832
9597931437,-0.053180,-0.053929,-0.764916,-0.639852
9597933937,-0.053198,-0.053946,-0.764901,-0.639867
9597936436,-0.053214,-0.053965,-0.764887,-0.639880
9597938936,-0.053231,-0.053986,-0.764877,-0.639890
9597941436,-0.053261,-0.054020,-0.764866,-0.639897
9597943936,-0.053293,-0.054055,-0.764854,-0.639906
9597946435,-0.053325,-0.054089,-0.764843,-0.639914
9597948935,-0.053358,-0.054120,-0.764831,-0.639922
9597951434,-0.053391,-0.054150,-0.764821,-0.639930
9597953934,-0.053418,-0.054177,-0.764810,-0.639937
9597956434,-0.053440,-0.054201,-0.764799,-0.639946
9597958934,-0.053457,-0.054223,-0.764789,-0.639956
9597961433,-0.053472,-0.054242,-0.764778,-0.639966
9597963933,-0.053481,-0.054259,-0.764766,-0.639978
9597966433,-0.053489,-0.054274,-0.764755,-0.639989
9597968932,-0.053494,-0.054286,-0.764741,-0.640005
9597971432,-0.053496,-0.054298,-0.764725,-0.640022
9597973932,-0.053493,-0.054305,-0.764706,-0.640045
9597976431,-0.053485,-0.054309,-0.764685,-0.640070
9597978931,-0.053479,-0.054312,-0.764662,-0.640098
9597981431,-0.053473,-0.054318,-0.764639,-0.640126
9597983931,-0.053471,-0.054324,-0.764615,-0.640154
9597986430,-0.053466,-0.054333,-0.764592,-0.640181
9597988930,-0.053460,-0.054341,-0.764568,-0.640209
9597991429,-0.053453,-0.054346,-0.764547,-0.640235
9597993929,-0.053447,-0.054352,-0.764527,-0.640258
9597996429,-0.053442,-0.054360,-0.764509,-0.640280
9597998928,-0.053438,-0.054371,-0.764495,-0.640296
9598001428,-0.053435,-0.054383,-0.764482,-0.640311
9598003928,-0.053431,-0.054396,-0.764471,-0.640323
9598006427,-0.053428,-0.054409,-0.764462,-0.640333
9598008927,-0.053427,-0.054422,-0.764457,-0.640338
9598011427,-0.053430,-0.054435,-0.764454,-0.640340
9598013927,-0.053434,-0.054449,-0.764453,-0.640340
9598016426,-0.053439,-0.054463,-0.764453,-0.640339
9598018932,-0.053447,-0.054480,-0.764452,-0.640337
9598021425,-0.053458,-0.054498,-0.764453,-0.640333
9598023925,-0.053471,-0.054518,-0.764455,-0.640328
