Timestamp (us),Percentage (%),Power (dBm)
9598798959,78.000000,-61.000000
9599801315,82.000000,-59.000000
9600796205,86.000000,-57.000000
9601810627,74.000000,-63.000000
9602793434,72.000000,-64.000000
9603792572,90.000000,-55.000000
9604802295,80.000000,-60.000000
9605798089,84.000000,-58.000000
9606794453,94.000000,-53.000000
9607793916,88.000000,-56.000000
9608800174,82.000000,-59.000000
9609797546,80.000000,-60.000000
9610797419,80.000000,-60.000000
9611787294,76.000000,-62.000000
9612787198,82.000000,-59.000000
9613787042,76.000000,-62.000000
9614791914,80.000000,-60.000000
9615794287,86.000000,-57.000000
9616794162,90.000000,-55.000000
9617789037,84.000000,-58.000000
9618793925,94.000000,-53.000000
9619791282,100.000000,-49.000000
9620796155,94.000000,-53.000000
9621803547,88.000000,-56.000000
9622801508,80.000000,-60.000000
9623793278,78.000000,-61.000000
9624792329,90.000000,-55.000000
9625790548,86.000000,-57.000000
9626790401,84.000000,-58.000000
9627800290,72.000000,-64.000000
9628795219,70.000000,-65.000000
9629792541,98.000000,-51.000000
9630791899,98.000000,-51.000000
9631794771,84.000000,-58.000000
9632792145,94.000000,-53.000000
9633798675,82.000000,-59.000000
9634799406,78.000000,-61.000000
9635796767,76.000000,-62.000000
9637794016,78.000000,-61.000000
9638801407,92.000000,-54.000000
9639786297,92.000000,-54.000000
9640795276,84.000000,-58.000000
9641786042,100.000000,-49.000000
9642796722,96.000000,-52.000000
9643793263,82.000000,-59.000000
9644790635,78.000000,-61.000000
9645803027,82.000000,-59.000000
9646798396,78.000000,-61.000000
9647791696,82.000000,-59.000000
9648792634,82.000000,-59.000000
9649800006,74.000000,-63.000000
9650794880,84.000000,-58.000000
