Timestamp (us),Percentage (%),Voltage (V),Charging Status
9598007172,79.205017,3.792050,0.000000
9599007742,79.237251,3.792372,0.000000
9600008273,79.192932,3.791929,0.000000
9601008806,79.187569,3.791875,0.000000
9602009340,79.182190,3.791822,0.000000
9603009871,79.172806,3.791728,0.000000
9604010401,79.167427,3.791674,0.000000
9605010933,79.182190,3.791822,0.000000
9606011465,79.119087,3.791191,0.000000
9607011997,79.158028,3.791580,0.000000
9608012530,79.133850,3.791339,0.000000
9609013061,79.164734,3.791647,0.000000
9610013593,79.166092,3.791661,0.000000
9611014129,79.145935,3.791460,0.000000
9612014684,79.207703,3.792077,0.000000
9613015214,79.109680,3.791097,0.000000
9614015745,79.149963,3.791500,0.000000
9615016276,79.128479,3.791285,0.000000
9616016807,79.094917,3.790949,0.000000
9617017338,79.120422,3.791204,0.000000
9618017869,79.137878,3.791378,0.000000
9619018406,79.106995,3.791070,0.000000
9620018937,79.168762,3.791688,0.000000
9621019471,79.132507,3.791325,0.000000
9622020004,79.111023,3.791110,0.000000
9623020534,79.115051,3.791151,0.000000
9624021065,79.125793,3.791258,0.000000
9625021596,79.123116,3.791231,0.000000
9626022146,79.088196,3.790882,0.000000
9627022677,79.085510,3.790855,0.000000
9628023207,79.102966,3.791030,0.000000
9629023738,79.066711,3.790667,0.000000
9630024270,79.082825,3.790828,0.000000
9631024800,79.068062,3.790681,0.000000
9632025331,79.102974,3.791030,0.000000
9633025863,79.049255,3.790493,0.000000
9634026394,79.058655,3.790586,0.000000
9635026925,79.133850,3.791338,0.000000
9636027456,79.090881,3.790909,0.000000
9637027987,79.086853,3.790868,0.000000
9638028518,79.055962,3.790559,0.000000
9639029076,79.072083,3.790721,0.000000
9640029620,79.046570,3.790466,0.000000
9641030153,79.066711,3.790667,0.000000
9642030686,79.055969,3.790560,0.000000
9643031217,79.098938,3.790989,0.000000
9644031748,79.058662,3.790586,0.000000
9645032278,79.022400,3.790224,0.000000
9646032830,79.080154,3.790801,0.000000
9647033361,79.081482,3.790815,0.000000
9648033895,79.088196,3.790882,0.000000
9649034426,79.033150,3.790331,0.000000
9650034957,79.053284,3.790533,0.000000
