Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9597882732,-0.103808,0.986749,-0.345792
9597903537,-0.005808,0.937749,-0.247792
9597924341,0.043193,0.888749,-0.296792
9597945139,-0.054807,1.035749,-0.345792
9597965939,-0.103808,0.986749,-0.247792
9597986737,-0.054807,0.937749,-0.394792
9598007537,-0.054807,0.986749,-0.394792
9598028336,-0.005808,0.937749,-0.296792
9598049134,-0.005808,0.937749,-0.296792
9598069937,-0.005808,0.937749,-0.296792
9598090735,-0.054807,0.888749,-0.443792
9598111534,-0.103808,0.937749,-0.296792
9598132333,0.043193,0.839749,-0.345792
9598153133,-0.054807,0.888749,-0.345792
9598173939,-0.005808,0.888749,-0.394792
9598194753,-0.005808,0.937749,-0.296792
9598215571,-0.054807,0.888749,-0.296792
9598236385,-0.054807,0.937749,-0.394792
9598257219,-0.054807,0.937749,-0.394792
9598278003,-0.005808,0.888749,-0.247792
9598298813,-0.054807,1.035749,-0.296792
9598319625,-0.054807,0.937749,-0.345792
9598340436,-0.103808,0.839749,-0.296792
9598361247,-0.054807,0.986749,-0.394792
9598382056,-0.054807,0.888749,-0.345792
9598402869,-0.103808,0.937749,-0.296792
9598423681,-0.054807,0.888749,-0.296792
9598444485,-0.005808,0.986749,-0.296792
9598465287,-0.054807,0.937749,-0.394792
9598486089,-0.054807,0.937749,-0.345792
9598506893,-0.054807,0.937749,-0.394792
9598527697,-0.005808,0.937749,-0.296792
9598548499,-0.054807,0.986749,-0.345792
9598569300,-0.005808,0.937749,-0.345792
9598590101,-0.054807,0.937749,-0.345792
9598610902,-0.054807,0.937749,-0.345792
9598631705,-0.005808,0.937749,-0.247792
9598652509,-0.054807,0.986749,-0.394792
9598673316,-0.054807,1.035749,-0.247792
9598694121,-0.054807,0.937749,-0.296792
9598714928,-0.005808,0.986749,-0.296792
9598735732,-0.054807,0.986749,-0.345792
9598756535,-0.152808,1.035749,-0.296792
9598777338,-0.005808,0.937749,-0.296792
9598798141,-0.005808,0.937749,-0.345792
9598818945,-0.054807,0.937749,-0.345792
9598839755,-0.005808,0.986749,-0.345792
9598860558,-0.005808,0.937749,-0.345792
9598881359,-0.054807,0.986749,-0.296792
9598902159,-0.005808,0.888749,-0.296792
9598922958,-0.054807,0.937749,-0.394792
9598943760,-0.054807,0.888749,-0.345792
9598964565,-0.054807,1.035749,-0.345792
9598985377,-0.103808,1.035749,-0.345792
9599006178,-0.005808,0.839749,-0.345792
9599026983,-0.054807,0.986749,-0.345792
9599047785,-0.005808,0.937749,-0.345792
9599068589,-0.054807,0.937749,-0.296792
9599089391,-0.054807,1.035749,-0.296792
9599110195,-0.005808,0.937749,-0.296792
9599131000,-0.054807,0.937749,-0.296792
9599151807,-0.054807,0.986749,-0.345792
9599172613,-0.054807,1.035749,-0.247792
9599193419,-0.103808,0.986749,-0.296792
9599214224,-0.054807,0.937749,-0.296792
9599235029,-0.103808,0.986749,-0.492792
9599255833,-0.005808,0.986749,-0.345792
9599276639,-0.054807,0.888749,-0.345792
9599297451,-0.054807,0.937749,-0.345792
9599318259,0.043193,0.888749,-0.394792
9599339067,-0.005808,0.937749,-0.345792
9599359874,-0.005808,0.937749,-0.345792
9599380683,-0.054807,0.937749,-0.345792
9599401491,-0.103808,1.035749,-0.296792
9599422298,-0.103808,0.986749,-0.345792
9599443107,0.043193,0.937749,-0.443792
9599463913,0.043193,0.937749,-0.394792
9599484719,-0.005808,0.937749,-0.492792
9599505526,-0.054807,0.888749,-0.345792
9599526335,-0.005808,0.937749,-0.443792
9599547144,-0.054807,0.986749,-0.345792
9599567951,-0.005808,0.888749,-0.345792
9599588756,-0.005808,0.937749,-0.345792
9599609563,-0.103808,0.937749,-0.296792
9599630368,-0.054807,0.986749,-0.345792
9599651173,-0.054807,0.986749,-0.345792
9599671980,-0.054807,0.937749,-0.443792
9599692787,-0.005808,0.937749,-0.296792
9599713592,-0.054807,0.839749,-0.247792
9599734394,-0.005808,0.986749,-0.394792
9599755196,-0.005808,0.888749,-0.247792
9599775997,-0.103808,0.986749,-0.198792
9599796800,-0.005808,0.937749,-0.345792
9599817602,-0.054807,1.035749,-0.345792
9599838403,-0.054807,0.986749,-0.247792
9599859203,-0.103808,0.986749,-0.296792
9599880005,-0.103808,0.888749,-0.198792
9599900809,-0.005808,0.986749,-0.296792
9599921614,-0.103808,0.937749,-0.296792
9599942420,-0.005808,0.937749,-0.247792
9599963226,-0.054807,0.937749,-0.296792
9599984029,-0.054807,0.937749,-0.345792
9600004833,-0.103808,0.986749,-0.247792
9600025636,-0.103808,0.888749,-0.345792
9600046440,-0.054807,0.937749,-0.247792
9600067244,-0.005808,0.986749,-0.247792
9600088048,-0.005808,0.937749,-0.345792
9600108853,-0.054807,0.888749,-0.296792
9600129659,-0.005808,0.937749,-0.394792
9600150468,-0.005808,0.888749,-0.345792
9600171279,-0.054807,0.937749,-0.296792
9600192086,-0.005808,0.937749,-0.345792
9600212891,-0.005808,0.937749,-0.345792
9600233697,-0.054807,0.937749,-0.345792
9600254501,-0.152808,1.035749,-0.345792
9600275304,-0.054807,0.937749,-0.296792
9600296107,-0.005808,0.937749,-0.345792
9600316912,-0.005808,0.986749,-0.345792
9600337718,-0.103808,0.937749,-0.345792
9600358522,-0.103808,0.888749,-0.394792
9600379326,-0.054807,0.937749,-0.394792
9600400131,-0.005808,0.888749,-0.345792
9600420936,-0.005808,0.888749,-0.345792
9600441741,-0.005808,0.888749,-0.394792
9600462545,-0.054807,0.986749,-0.345792
9600483347,-0.005808,0.888749,-0.394792
9600504148,-0.005808,0.937749,-0.247792
9600524952,-0.103808,0.937749,-0.345792
9600545757,0.043193,0.839749,-0.247792
9600566559,0.043193,0.937749,-0.296792
9600587363,-0.054807,1.084749,-0.296792
9600608165,-0.054807,1.035749,-0.394792
9600628967,-0.152808,0.986749,-0.345792
9600649769,-0.152808,0.986749,-0.345792
9600670570,-0.054807,0.937749,-0.394792
9600691374,-0.054807,0.888749,-0.296792
9600712176,0.092192,0.937749,-0.345792
9600732976,0.092192,0.839749,-0.443792
9600753777,0.043193,0.937749,-0.492792
9600774578,-0.054807,0.937749,-0.443792
9600795381,-0.005808,0.937749,-0.443792
9600816181,-0.005808,0.888749,-0.394792
9600836985,-0.054807,0.888749,-0.345792
9600857786,0.043193,0.888749,-0.443792
9600878585,-0.054807,1.035749,-0.443792
9600899384,0.043193,0.986749,-0.345792
9600920185,0.043193,0.937749,-0.345792
9600940989,-0.005808,0.888749,-0.443792
9600961793,-0.005808,0.986749,-0.394792
9600982597,-0.005808,0.937749,-0.296792
9601003398,-0.005808,0.937749,-0.394792
9601024198,-0.005808,0.888749,-0.394792
9601044998,-0.005808,0.888749,-0.394792
9601065797,-0.054807,0.937749,-0.443792
9601086598,-0.103808,0.986749,-0.345792
9601107396,-0.054807,0.937749,-0.296792
9601128195,-0.005808,0.986749,-0.296792
9601148994,-0.054807,0.986749,-0.296792
9601169798,-0.103808,0.888749,-0.296792
9601190599,-0.103808,0.986749,-0.247792
9601211402,-0.054807,1.035749,-0.345792
9601232206,-0.103808,0.986749,-0.345792
9601253008,-0.103808,0.937749,-0.247792
9601273811,-0.054807,0.937749,-0.296792
9601294615,-0.054807,0.888749,-0.296792
9601315420,-0.103808,0.937749,-0.296792
9601336224,-0.103808,0.937749,-0.247792
9601357028,-0.005808,0.986749,-0.247792
9601377831,-0.103808,0.937749,-0.247792
9601398635,-0.005808,0.888749,-0.296792
9601419439,-0.054807,0.937749,-0.247792
9601440243,-0.152808,0.986749,-0.296792
9601461047,-0.005808,0.986749,-0.296792
9601481851,-0.054807,0.937749,-0.345792
9601502664,-0.005808,0.937749,-0.296792
9601523459,-0.054807,0.888749,-0.296792
9601544261,-0.005808,0.986749,-0.296792
9601565064,-0.054807,0.986749,-0.345792
9601585869,-0.054807,0.937749,-0.296792
9601606675,-0.054807,0.937749,-0.247792
9601627484,-0.054807,0.937749,-0.394792
9601648288,-0.005808,0.986749,-0.394792
9601669090,-0.054807,0.937749,-0.345792
9601689893,-0.054807,1.035749,-0.296792
9601710696,-0.054807,0.937749,-0.345792
9601731499,-0.054807,0.937749,-0.296792
9601752302,-0.054807,0.937749,-0.296792
9601773104,-0.103808,0.986749,-0.296792
9601793906,-0.054807,0.986749,-0.345792
9601814709,-0.054807,0.888749,-0.345792
9601835515,-0.005808,0.888749,-0.394792
9601856320,-0.103808,0.888749,-0.345792
9601877125,-0.054807,1.035749,-0.247792
9601897933,-0.103808,0.986749,-0.296792
9601918736,-0.005808,0.888749,-0.345792
9601939541,-0.054807,0.986749,-0.296792
9601960345,-0.054807,0.937749,-0.345792
9601981149,-0.054807,0.888749,-0.443792
9602001953,-0.005808,0.888749,-0.443792
9602022757,-0.005808,0.986749,-0.345792
9602043562,-0.005808,0.986749,-0.394792
9602064367,-0.005808,0.888749,-0.443792
9602085172,-0.054807,0.937749,-0.443792
9602105977,0.043193,0.888749,-0.492792
9602126783,-0.103808,1.035749,-0.394792
9602147589,0.092192,0.839749,-0.394792
9602168393,-0.005808,0.937749,-0.443792
9602189199,-0.054807,0.888749,-0.443792
9602210003,-0.054807,0.888749,-0.443792
9602230818,-0.103808,0.937749,-0.394792
9602251611,-0.054807,0.937749,-0.394792
9602272417,0.043193,0.937749,-0.345792
9602293221,0.043193,0.839749,-0.345792
9602314029,-0.005808,0.986749,-0.394792
9602334831,0.043193,0.986749,-0.394792
9602355635,-0.005808,0.986749,-0.345792
9602376439,-0.054807,0.937749,-0.394792
9602397243,0.043193,0.888749,-0.247792
9602418047,-0.299807,1.084749,-0.296792
9602438849,0.043193,0.839749,-0.345792
9602459650,-0.005808,0.986749,-0.247792
9602480453,-0.152808,0.986749,-0.394792
9602501255,-0.054807,1.035749,-0.198792
9602522059,-0.005808,0.888749,-0.198792
9602542863,-0.103808,0.986749,-0.247792
9602563668,-0.005808,0.986749,-0.296792
9602584472,-0.005808,0.937749,-0.345792
9602605274,-0.103808,0.888749,-0.345792
9602626077,-0.103808,0.986749,-0.247792
9602646879,-0.103808,0.937749,-0.296792
9602667682,-0.005808,0.839749,-0.296792
9602688485,-0.103808,0.986749,-0.345792
9602709288,-0.054807,0.986749,-0.247792
9602730089,-0.103808,0.986749,-0.296792
9602750892,-0.103808,0.986749,-0.345792
9602771695,-0.054807,0.937749,-0.247792
9602792499,-0.005808,0.986749,-0.247792
9602813301,-0.054807,0.937749,-0.345792
9602834103,-0.103808,0.937749,-0.345792
9602854905,-0.103808,0.986749,-0.296792
9602875707,-0.054807,0.839749,-0.345792
9602896509,-0.103808,0.986749,-0.296792
9602917311,-0.152808,0.986749,-0.247792
9602938114,-0.054807,0.888749,-0.394792
9602958921,-0.054807,0.986749,-0.443792
9602979722,0.043193,0.937749,-0.345792
9603000530,-0.005808,0.986749,-0.394792
9603021336,-0.103808,0.986749,-0.345792
9603042142,-0.005808,0.937749,-0.394792
9603062948,0.043193,0.986749,-0.394792
9603083752,-0.054807,0.986749,-0.394792
9603104560,-0.103808,0.937749,-0.394792
9603125367,-0.201807,0.937749,-0.492792
9603146167,0.043193,0.937749,-0.247792
9603166971,0.043193,0.986749,-0.296792
9603187776,-0.005808,0.986749,-0.296792
9603208579,-0.005808,1.035749,-0.296792
9603229382,-0.103808,0.986749,-0.394792
9603250184,-0.103808,0.888749,-0.394792
9603270987,-0.201807,0.937749,-0.394792
9603291792,-0.152808,0.937749,-0.394792
9603312596,0.092192,0.986749,-0.443792
9603333396,-0.005808,0.986749,-0.590792
9603354199,-0.054807,0.888749,-0.492792
9603375002,-0.005808,1.035749,-0.443792
9603395807,-0.054807,0.888749,-0.492792
9603416610,-0.054807,0.937749,-0.394792
9603437412,-0.005808,0.986749,-0.492792
9603458213,0.043193,0.937749,-0.492792
9603479014,-0.103808,0.986749,-0.541792
9603499816,-0.054807,0.937749,-0.394792
9603520618,-0.152808,0.986749,-0.394792
9603541422,-0.054807,0.937749,-0.394792
9603562227,-0.054807,0.937749,-0.541792
9603583030,-0.054807,0.839749,-0.541792
9603603833,-0.054807,0.986749,-0.443792
9603624633,-0.005808,0.888749,-0.443792
9603645434,-0.103808,0.888749,-0.443792
9603666233,-0.152808,1.035749,-0.541792
9603687034,-0.103808,0.986749,-0.443792
9603707836,-0.152808,0.986749,-0.492792
9603728638,-0.103808,0.937749,-0.492792
9603749439,-0.054807,0.888749,-0.394792
9603770239,-0.103808,0.888749,-0.443792
9603791038,-0.103808,0.986749,-0.492792
9603811839,-0.103808,0.937749,-0.443792
9603832639,-0.103808,0.986749,-0.443792
9603853440,-0.152808,0.937749,-0.492792
9603874241,-0.152808,0.888749,-0.541792
9603895042,-0.152808,0.937749,-0.394792
9603915843,-0.103808,0.888749,-0.443792
9603936644,-0.152808,0.937749,-0.394792
9603957444,-0.152808,0.888749,-0.443792
9603978246,-0.152808,0.986749,-0.247792
9603999046,-0.005808,0.839749,-0.394792
9604019846,-0.103808,0.986749,-0.247792
9604040646,-0.152808,0.986749,-0.296792
9604061449,-0.054807,0.986749,-0.296792
9604082248,-0.054807,0.986749,-0.394792
9604103048,-0.005808,0.937749,-0.296792
9604123852,-0.005808,0.937749,-0.345792
9604144653,-0.005808,0.888749,-0.247792
9604165455,-0.152808,0.937749,-0.296792
9604186258,-0.054807,0.937749,-0.394792
9604207062,-0.103808,0.937749,-0.394792
9604227867,-0.201807,0.986749,-0.296792
9604248671,-0.103808,0.888749,-0.345792
9604269475,-0.103808,0.986749,-0.296792
9604290277,-0.005808,0.937749,-0.345792
9604311078,0.043193,0.986749,-0.345792
9604331880,-0.005808,0.937749,-0.345792
9604352684,-0.103808,0.986749,-0.247792
9604373486,-0.005808,0.888749,-0.296792
9604394291,-0.103808,0.937749,-0.296792
9604415093,-0.054807,0.937749,-0.394792
9604435893,0.092192,0.986749,-0.296792
9604456692,-0.103808,0.888749,-0.345792
9604477488,-0.054807,0.937749,-0.345792
9604498287,-0.152808,0.937749,-0.345792
9604519089,-0.103808,0.937749,-0.345792
9604539889,-0.152808,0.888749,-0.345792
9604560689,-0.005808,0.888749,-0.296792
9604581490,-0.054807,0.986749,-0.345792
9604602289,-0.005808,0.937749,-0.345792
9604623090,-0.103808,0.937749,-0.394792
9604643893,-0.152808,0.986749,-0.394792
9604664696,-0.152808,0.937749,-0.296792
9604685501,-0.152808,0.986749,-0.394792
9604706303,-0.103808,0.937749,-0.345792
9604727104,-0.201807,0.986749,-0.296792
9604747905,-0.152808,0.937749,-0.247792
9604768706,-0.054807,0.937749,-0.394792
9604789509,-0.005808,0.937749,-0.394792
9604810315,-0.054807,0.986749,-0.345792
9604831116,-0.005808,0.839749,-0.394792
9604851921,0.043193,0.937749,-0.394792
9604872722,-0.054807,0.937749,-0.296792
9604893523,-0.054807,0.986749,-0.345792
9604914325,-0.054807,0.986749,-0.345792
9604935130,-0.005808,0.937749,-0.296792
9604955931,-0.152808,1.035749,-0.443792
9604997534,0.092192,0.986749,-0.247792
9605018341,0.092192,0.839749,-0.247792
9605039137,0.043193,0.986749,-0.198792
9605059936,-0.005808,0.986749,-0.394792
9605080737,0.092192,0.888749,-0.345792
