Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9597869287,0.090756,-0.133643,-0.000626,-0.009267,0.994416,-0.025985
9597871789,0.029825,-0.194521,-0.061212,-0.010743,0.992972,-0.024546
9597874291,-0.031213,-0.194086,-0.000494,-0.013679,0.992263,-0.021662
9597876794,-0.092067,-0.193969,-0.061207,-0.013634,0.996621,-0.023102
9597879296,-0.091955,-0.194067,-0.121893,-0.011431,0.997335,-0.025265
9597881798,-0.030937,-0.255356,-0.182427,-0.010009,0.994416,-0.023810
9597884301,-0.030970,-0.194141,-0.121790,-0.008586,0.992945,-0.020896
9597886803,-0.030920,-0.133103,-0.121878,-0.008571,0.992951,-0.023077
9597889305,-0.091857,-0.132846,-0.121847,-0.011492,0.991523,-0.023103
9597891807,-0.152816,-0.071454,-0.061237,-0.012930,0.992988,-0.023835
9597894310,-0.152851,-0.071272,-0.000512,-0.011471,0.992254,-0.025281
9597896811,-0.152886,-0.071091,0.060194,-0.010735,0.991528,-0.027459
9597899314,-0.152958,-0.253999,0.060554,-0.011456,0.992260,-0.027462
9597901816,-0.213936,-0.375658,0.060781,-0.011500,0.989349,-0.024563
9597904318,-0.274609,-0.314665,-0.060783,-0.010035,0.989341,-0.026007
9597906821,-0.335469,-0.314351,-0.060770,-0.010001,0.992972,-0.026722
9597909323,-0.274212,-0.253808,-0.182282,-0.013635,0.995897,-0.023831
9597911825,-0.213220,-0.314920,-0.182091,-0.014357,0.995905,-0.024564
9597914328,-0.152167,-0.254060,-0.182154,-0.010702,0.998053,-0.024530
9597916830,-0.091216,-0.193060,-0.121510,-0.008508,0.999487,-0.024510
9597919332,-0.030367,-0.131920,-0.000180,-0.011419,0.998786,-0.025260
9597921834,0.030463,-0.070800,0.121111,-0.014325,0.998088,-0.026738
9597924337,-0.030493,-0.070562,0.121066,-0.015780,0.998100,-0.026748
9597926839,-0.091263,-0.070642,-0.000390,-0.013610,0.995183,-0.028195
9597929341,-0.091029,-0.009961,-0.121927,-0.011456,0.992260,-0.027462
9597931844,-0.030054,-0.010173,-0.121882,-0.010736,0.995146,-0.023086
9597934346,-0.090991,-0.009955,-0.121851,-0.010012,0.995862,-0.021624
9597936849,-0.090839,0.050866,-0.182644,-0.012164,0.996615,-0.025272
9597939350,-0.090813,0.172963,-0.122134,-0.013612,0.998077,-0.024551
9597941853,-0.090828,0.234044,-0.061517,-0.015070,0.995916,-0.026750
9597944355,-0.029936,0.233914,-0.000785,-0.012895,0.993725,-0.028195
9597946857,0.030896,0.172807,0.060054,-0.010713,0.997325,-0.023806
9597949359,0.091752,0.050584,0.060295,-0.013621,0.998797,-0.022368
9597951862,0.091766,-0.010567,-0.000303,-0.012884,0.998795,-0.023817
9597954364,0.030794,-0.132461,-0.060762,-0.012161,0.999511,-0.022355
9597956866,-0.030159,-0.254316,-0.121203,-0.011433,0.999505,-0.022350
9597959369,-0.091301,-0.314680,0.000366,-0.010689,1.000953,-0.023067
9597961871,-0.152258,-0.375343,0.000485,-0.010697,0.998055,-0.025257
9597964373,-0.091267,-0.253328,0.060945,-0.009276,0.995136,-0.023802
9597966875,-0.091116,-0.192431,0.000093,-0.004909,0.996549,-0.022311
9597969377,-0.030058,-0.192744,-0.060605,-0.004878,0.998007,-0.025214
9597971880,-0.030255,-0.253343,0.060951,-0.005605,0.998013,-0.025220
9597974382,-0.030368,-0.314081,0.121764,-0.006345,0.995844,-0.025959
9597976884,-0.030444,-0.191711,0.242884,-0.007798,0.997303,-0.024511
9597979387,-0.091217,-0.069641,0.181843,-0.009947,1.000228,-0.025972
9597981889,-0.029997,0.051801,0.060128,-0.009233,0.997323,-0.027429
9597984391,0.092070,0.051037,-0.061288,-0.008538,0.995134,-0.025250
9597986893,0.213853,-0.071363,-0.061002,-0.007069,0.994403,-0.028150
9597989395,0.213703,-0.071182,-0.000277,-0.010711,0.994431,-0.027449
9597991898,0.091661,-0.070570,0.060415,-0.009996,0.992974,-0.027449
9597994400,0.030523,-0.192127,0.121347,-0.006368,0.993664,-0.025239
