Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9597885942,-0.032916,-1.212395,1.041280
9597936095,-0.032795,-1.212430,1.060596
9597986241,-0.041751,-1.221337,1.061558
9598036391,-0.032980,-1.212356,1.031348
9598086530,-0.032813,-1.221331,1.060802
9598136679,-0.032771,-1.203573,1.060936
9598186830,-0.023910,-1.212460,1.050823
9598236980,-0.050639,-1.221276,1.070967
9598287131,-0.050601,-1.203487,1.070734
9598337289,-0.041841,-1.203468,1.041461
9598387431,-0.032835,-1.203533,1.051006
9598437584,-0.032825,-1.203607,1.051910
9598487734,-0.041880,-1.221242,1.041510
9598537889,-0.041839,-1.203483,1.041640
9598588036,-0.032938,-1.221267,1.041125
9598638183,-0.041755,-1.221307,1.061193
9598688328,-0.032854,-1.212420,1.051030
9598738472,-0.032874,-1.221307,1.051055
9598788611,-0.041739,-1.212389,1.060804
9598838757,-0.041737,-1.212404,1.060986
9598888901,-0.032787,-1.212490,1.061325
9598939043,-0.032856,-1.212405,1.050849
9598989192,-0.032793,-1.212445,1.060778
9599039339,-0.032852,-1.212435,1.051211
9599089486,-0.041717,-1.203517,1.060962
9599139635,-0.041864,-1.212325,1.041126
9599189786,-0.041779,-1.203493,1.051213
9599239931,-0.041903,-1.203443,1.031706
9599290066,-0.050812,-1.212255,1.040973
9599340205,-0.041797,-1.212395,1.051418
9599390344,-0.041864,-1.212325,1.041126
9599440476,-0.050935,-1.212220,1.021646
9599490612,-0.041799,-1.212380,1.051237
9599540755,-0.050660,-1.203492,1.061352
9599590932,-0.050894,-1.221117,1.031247
9599641045,-0.050791,-1.203383,1.041128
9599691191,-0.050745,-1.212324,1.051263
9599741325,-0.050829,-1.221172,1.041356
9599791474,-0.041972,-1.203359,1.021242
9599841625,-0.041777,-1.203507,1.051394
9599891771,-0.032852,-1.212435,1.051211
9599941925,-0.032785,-1.212505,1.061507
9599992066,-0.032771,-1.203573,1.060936
9600042208,-0.041799,-1.212380,1.051237
9600092343,-0.050663,-1.203462,1.060988
9600142484,-0.032805,-1.221392,1.061532
9600192630,-0.041902,-1.230114,1.041355
9600242773,-0.041781,-1.203478,1.051032
9600292921,-0.050832,-1.221142,1.040997
9600343071,-0.032938,-1.221267,1.041125
9600393223,-0.050767,-1.221196,1.051107
9600443375,-0.059717,-1.221096,1.050591
9600493518,-0.059752,-1.212260,1.041717
9600543667,-0.059902,-1.221037,1.021520
9600593816,-0.068849,-1.220982,1.021546
9600643963,-0.068912,-1.220942,1.011614
9600694110,-0.059842,-1.221047,1.031095
9600744255,-0.077773,-1.212070,1.021901
9600794403,-0.077775,-1.212039,1.021547
9600844565,-0.086766,-1.203057,1.011617
9600894707,-0.086679,-1.220896,1.031351
9600944861,-0.086742,-1.220871,1.021598
9600995015,-0.086679,-1.220896,1.031351
9601045166,-0.086615,-1.220936,1.041281
9601095321,-0.086742,-1.220856,1.021421
9601145475,-0.086743,-1.220841,1.021244
9601195624,-0.077713,-1.212064,1.031301
9601245778,-0.068849,-1.220982,1.021546
9601295919,-0.077648,-1.212119,1.041410
9601346062,-0.077712,-1.212079,1.031479
9601396208,-0.077795,-1.220927,1.021572
9601446356,-0.086613,-1.220966,1.041640
9601496504,-0.077713,-1.212064,1.031301
9601546656,-0.077689,-1.229878,1.041280
9601596807,-0.077903,-1.211960,1.001684
9601646957,-0.086762,-1.229743,1.021446
9601697105,-0.077774,-1.212054,1.021724
9601747248,-0.086679,-1.220896,1.031351
9601797383,-0.086721,-1.211999,1.021750
9601847535,-0.095668,-1.211929,1.021599
9601897685,-0.095834,-1.229655,1.002134
9601947838,-0.095707,-1.229719,1.021825
9601997983,-0.095687,-1.220831,1.021801
9602048151,-0.104696,-1.220782,1.012420
9602098285,-0.104488,-1.211938,1.041309
9602148432,-0.104551,-1.211914,1.031557
9602198586,-0.104551,-1.211899,1.031379
9602248737,-0.113562,-1.211789,1.021298
9602298887,-0.104550,-1.211929,1.031735
9602349029,-0.095624,-1.220856,1.031555
9602399181,-0.104572,-1.220770,1.031225
9602449330,-0.095689,-1.220786,1.021270
9602499487,-0.086804,-1.220847,1.011842
9602549636,-0.095668,-1.211929,1.021599
9602599775,-0.086742,-1.220856,1.021421
9602649921,-0.077714,-1.212049,1.031122
9602700072,-0.086741,-1.220887,1.021775
9602750216,-0.077859,-1.220887,1.011640
9602800369,-0.086785,-1.211945,1.011642
9602850515,-0.077795,-1.220927,1.021572
9602900665,-0.095713,-1.202987,1.011468
9602950820,-0.095689,-1.220786,1.021270
9603000968,-0.086848,-1.211920,1.001884
9603051124,-0.095668,-1.211929,1.021599
9603101273,-0.095604,-1.211969,1.031531
9603151424,-0.086851,-1.211875,1.001363
9603201575,-0.095560,-1.220911,1.041666
9603251744,-0.086722,-1.211984,1.021573
9603301874,-0.077903,-1.211960,1.001684
9603352023,-0.077648,-1.212119,1.041410
9603402163,-0.077733,-1.220951,1.031325
9603452306,-0.050830,-1.221157,1.041177
9603502451,-0.050810,-1.212270,1.041152
9603552593,-0.050871,-1.212260,1.031579
9603602741,-0.050700,-1.221267,1.061401
9603652885,-0.050791,-1.203383,1.041128
9603703030,-0.059713,-1.221141,1.051133
9603753175,-0.059561,-1.212379,1.071519
9603803320,-0.077518,-1.238884,1.071094
9603853476,-0.086401,-1.238853,1.080865
9603903587,-0.104268,-1.256588,1.091268
9603953722,-0.122161,-1.256461,1.091133
9604003861,-0.140010,-1.265294,1.101328
9604054005,-0.148785,-1.274228,1.130981
9604104149,-0.148888,-1.291979,1.121290
9604154290,-0.148717,-1.301002,1.151303
9604204435,-0.157747,-1.309778,1.141228
9604254579,-0.148904,-1.327550,1.131128
9604304723,-0.175763,-1.336289,1.131422
9604354869,-0.202686,-1.344971,1.121593
9604405014,-0.220790,-1.353628,1.091876
9604455157,-0.229592,-1.344800,1.112118
9604505305,-0.238452,-1.335863,1.121673
9604555446,-0.256281,-1.335792,1.131657
9604605593,-0.265183,-1.344664,1.141639
9604655744,-0.265102,-1.335833,1.151740
9604705892,-0.264995,-1.344800,1.171630
9604756041,-0.256008,-1.327081,1.171555
9604806187,-0.265061,-1.344778,1.161893
9604856324,-0.264990,-1.344765,1.171235
9604906468,-0.265096,-1.362517,1.161550
9604956607,-0.282930,-1.362482,1.171928
9605006753,-0.273959,-1.353614,1.171483
9605056902,-0.282902,-1.353541,1.171312
9605107045,-0.282858,-1.362468,1.181267
9605157197,-0.273816,-1.344842,1.191722
9605207351,-0.282691,-1.344774,1.201077
9605257496,-0.264608,-1.345003,1.230815
9605307646,-0.246636,-1.336301,1.241083
9605357792,-0.237559,-1.336401,1.260503
9605407932,-0.219632,-1.318806,1.261241
9605458072,-0.210662,-1.309923,1.260561
9605508225,-0.183802,-1.301185,1.260249
9605558376,-0.165954,-1.292402,1.250659
9605608535,-0.156733,-1.283712,1.290125
9605658687,-0.139051,-1.292607,1.260513
9605708839,-0.130000,-1.274960,1.270793
9605759015,-0.120991,-1.274990,1.279853
9605809135,-0.103078,-1.266229,1.279989
9605859286,-0.103058,-1.257358,1.280177
9605909435,-0.085167,-1.257437,1.279700
9605959585,-0.067383,-1.248565,1.259553
9606009739,-0.058280,-1.239907,1.280635
9606059891,-0.058416,-1.239749,1.259712
9606110045,-0.058493,-1.248660,1.250640
9606160193,-0.049824,-1.257412,1.210491
9606210346,-0.058556,-1.248620,1.240705
9606260499,-0.067528,-1.257404,1.240134
9606310652,-0.067484,-1.266331,1.250090
9606360809,-0.067353,-1.266443,1.270375
9606410960,-0.076428,-1.266308,1.250533
9606461104,-0.076300,-1.266388,1.270401
