Timestamp (us),W Element,X Element,Y Element,Z Element
9597869287,-0.012671,-0.020834,0.716316,0.697524
9597871789,-0.012667,-0.020831,0.716316,0.697525
9597874291,-0.012662,-0.020828,0.716314,0.697527
9597876794,-0.012657,-0.020826,0.716312,0.697529
9597879296,-0.012651,-0.020824,0.716310,0.697531
9597881798,-0.012643,-0.020822,0.716309,0.697532
9597884301,-0.012638,-0.020820,0.716307,0.697535
9597886803,-0.012635,-0.020819,0.716306,0.697536
9597889305,-0.012630,-0.020818,0.716303,0.697538
9597891807,-0.012627,-0.020818,0.716300,0.697541
9597894310,-0.012626,-0.020817,0.716298,0.697544
9597896811,-0.012625,-0.020814,0.716296,0.697546
9597899314,-0.012622,-0.020809,0.716294,0.697548
9597901816,-0.012617,-0.020802,0.716290,0.697552
9597904318,-0.012611,-0.020798,0.716286,0.697557
9597906821,-0.012605,-0.020793,0.716281,0.697562
9597909323,-0.012597,-0.020793,0.716276,0.697567
9597911825,-0.012588,-0.020791,0.716273,0.697572
9597914328,-0.012581,-0.020790,0.716270,0.697575
9597916830,-0.012577,-0.020787,0.716268,0.697577
9597919332,-0.012574,-0.020785,0.716267,0.697577
9597921834,-0.012574,-0.020783,0.716268,0.697577
9597924337,-0.012573,-0.020781,0.716267,0.697577
9597926839,-0.012571,-0.020780,0.716267,0.697578
9597929341,-0.012568,-0.020782,0.716265,0.697579
9597931844,-0.012566,-0.020783,0.716264,0.697581
9597934346,-0.012564,-0.020784,0.716261,0.697584
9597936849,-0.012561,-0.020787,0.716260,0.697585
9597939350,-0.012561,-0.020792,0.716258,0.697587
9597941853,-0.012562,-0.020797,0.716256,0.697589
9597944355,-0.012565,-0.020800,0.716256,0.697588
9597946857,-0.012568,-0.020801,0.716256,0.697588
9597949359,-0.012568,-0.020801,0.716256,0.697588
9597951862,-0.012567,-0.020801,0.716257,0.697587
9597954364,-0.012563,-0.020800,0.716257,0.697588
9597956866,-0.012557,-0.020797,0.716255,0.697590
9597959369,-0.012551,-0.020792,0.716253,0.697592
9597961871,-0.012545,-0.020785,0.716250,0.697595
9597964373,-0.012542,-0.020779,0.716249,0.697597
9597966875,-0.012540,-0.020774,0.716246,0.697600
9597969377,-0.012537,-0.020770,0.716246,0.697601
9597971880,-0.012535,-0.020763,0.716245,0.697602
9597974382,-0.012533,-0.020755,0.716245,0.697602
9597976884,-0.012534,-0.020747,0.716244,0.697603
9597979387,-0.012535,-0.020742,0.716243,0.697605
9597981889,-0.012537,-0.020741,0.716242,0.697605
