Timestamp (us),Percentage (%),Power (dBm)
9597884447,80.000000,-60.000000
9598882826,80.000000,-60.000000
9599880088,78.000000,-61.000000
9600882164,76.000000,-62.000000
9601878067,84.000000,-58.000000
9602886451,78.000000,-61.000000
9603881905,86.000000,-57.000000
9604883289,90.000000,-55.000000
9605881921,86.000000,-57.000000
9606881934,86.000000,-57.000000
9607880976,86.000000,-57.000000
9608881959,86.000000,-57.000000
9609887825,86.000000,-57.000000
9610878694,88.000000,-56.000000
9611882009,100.000000,-50.000000
9612887620,100.000000,-47.000000
9613882023,100.000000,-50.000000
9614878816,90.000000,-55.000000
9615878252,90.000000,-55.000000
9616876657,88.000000,-56.000000
9617882075,94.000000,-53.000000
9618890952,92.000000,-54.000000
9619886855,100.000000,-45.000000
9620882113,90.000000,-55.000000
9621882126,100.000000,-49.000000
9622887072,90.000000,-55.000000
9623877969,100.000000,-48.000000
9624890563,96.000000,-52.000000
9625888867,78.000000,-61.000000
9626880691,78.000000,-61.000000
9627882203,78.000000,-61.000000
9628884230,86.000000,-57.000000
9629885912,74.000000,-63.000000
9630886788,84.000000,-58.000000
9631890230,94.000000,-53.000000
9632881124,84.000000,-58.000000
9633889539,100.000000,-47.000000
9634882293,100.000000,-50.000000
9635881341,90.000000,-55.000000
9636892255,86.000000,-57.000000
9637882331,82.000000,-59.000000
9638881554,88.000000,-56.000000
9639879957,84.000000,-58.000000
9640883386,88.000000,-56.000000
9641891777,100.000000,-48.000000
9642882704,96.000000,-52.000000
9643881092,100.000000,-49.000000
9644882420,94.000000,-53.000000
9645882433,100.000000,-49.000000
9646898801,80.000000,-60.000000
9647885311,82.000000,-59.000000
9648885595,88.000000,-56.000000
9649882484,82.000000,-59.000000
9650882400,84.000000,-58.000000
