Timestamp (us),Percentage (%),Voltage (V),Charging Status
9598264095,98.303574,3.983036,0.000000
9599264626,98.308945,3.983089,0.000000
9600265157,98.284775,3.982848,0.000000
9601265689,98.299545,3.982995,0.000000
9602266220,98.294174,3.982942,0.000000
9603266756,98.286133,3.982861,0.000000
9604267293,98.275375,3.982754,0.000000
9605267827,98.284782,3.982848,0.000000
9606268387,98.272705,3.982727,0.000000
9607268919,98.282089,3.982821,0.000000
9608269490,98.261948,3.982620,0.000000
9609270058,98.282089,3.982821,0.000000
9610270590,98.255249,3.982552,0.000000
9611271148,98.255249,3.982552,0.000000
9612271681,98.261955,3.982620,0.000000
9613272211,98.244492,3.982445,0.000000
9614272743,98.248520,3.982485,0.000000
9615273274,98.261963,3.982620,0.000000
9616273809,98.237778,3.982378,0.000000
9617274340,98.244492,3.982445,0.000000
9618274871,98.231064,3.982311,0.000000
9619275403,98.229721,3.982297,0.000000
9620275934,98.237785,3.982378,0.000000
9621276466,98.209587,3.982096,0.000000
9622276997,98.220322,3.982203,0.000000
9623277528,98.210922,3.982109,0.000000
9624278059,98.196152,3.981961,0.000000
9625278610,98.194809,3.981948,0.000000
9626280245,98.184074,3.981841,0.000000
9627280801,98.205559,3.982056,0.000000
9628281372,98.197502,3.981975,0.000000
9629281903,98.188110,3.981881,0.000000
9630282465,98.185417,3.981854,0.000000
9631282999,98.190796,3.981908,0.000000
9632283561,98.180054,3.981801,0.000000
9633284134,98.174683,3.981747,0.000000
9634284667,98.192123,3.981921,0.000000
9635285229,98.182739,3.981827,0.000000
9636285795,98.151855,3.981519,0.000000
9637286326,98.151840,3.981519,0.000000
9638286888,98.157211,3.981572,0.000000
9639287419,98.155869,3.981559,0.000000
9640287983,98.151840,3.981519,0.000000
9641288552,98.158569,3.981586,0.000000
9642289087,98.139763,3.981398,0.000000
9643289651,98.138412,3.981384,0.000000
9644290217,98.118271,3.981183,0.000000
9645290748,98.120972,3.981210,0.000000
9646291317,98.110214,3.981102,0.000000
9647291849,98.114243,3.981143,0.000000
9648292402,98.122314,3.981223,0.000000
9649292971,98.118271,3.981183,0.000000
9650293502,98.104858,3.981049,0.000000
