Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9597905514,-0.032444,0.872085,-0.075202
9597926152,-0.032444,0.921085,-0.075202
9597946791,0.016556,0.872085,-0.026202
9597967429,-0.032444,0.872085,-0.026202
9597988067,-0.032444,0.872085,-0.075202
9598008705,-0.032444,0.921085,-0.026202
9598029342,-0.032444,0.823085,-0.026202
9598049978,-0.081444,0.872085,-0.026202
9598070616,-0.032444,0.872085,-0.026202
9598091254,-0.081444,0.872085,-0.075202
9598111892,-0.081444,0.872085,-0.124202
9598132530,-0.032444,0.872085,-0.075202
9598153168,-0.032444,0.823085,-0.124202
9598173808,0.065556,0.823085,-0.173202
9598194447,-0.032444,0.872085,0.071798
9598215085,-0.081444,0.823085,-0.124202
9598235723,-0.032444,0.872085,-0.075202
9598256360,-0.032444,0.921085,0.022798
9598277000,-0.081444,0.921085,-0.075202
9598297638,0.016556,0.823085,-0.124202
9598318277,0.065556,0.921085,-0.026202
9598338916,-0.032444,0.823085,-0.124202
9598359554,-0.081444,0.872085,-0.075202
9598380192,-0.032444,0.872085,-0.075202
9598400829,-0.081444,0.872085,-0.173202
9598421468,-0.081444,0.872085,-0.075202
9598442107,0.016556,0.872085,-0.124202
9598462743,-0.032444,0.872085,-0.026202
9598483381,-0.032444,0.872085,0.022798
9598504021,-0.130444,0.872085,-0.075202
9598524661,-0.081444,0.823085,-0.173202
9598545299,-0.130444,0.774085,-0.222202
9598565938,-0.032444,0.872085,-0.222202
9598586577,0.016556,0.970085,-0.173202
9598607216,-0.032444,0.872085,-0.124202
9598627854,0.016556,0.823085,-0.075202
9598648493,-0.032444,0.872085,0.022798
9598669132,-0.032444,0.921085,0.022798
9598689772,-0.081444,0.872085,-0.124202
9598710410,-0.130444,0.970085,-0.124202
9598731049,-0.081444,1.019085,-0.124202
9598751687,0.065556,0.921085,-0.173202
9598772325,0.016556,0.872085,-0.124202
9598792963,0.065556,0.774085,-0.124202
9598813602,0.016556,0.872085,-0.124202
9598834240,-0.130444,0.921085,-0.075202
9598854879,-0.130444,0.921085,-0.124202
9598875518,-0.032444,0.872085,0.022798
9598896156,-0.032444,0.823085,-0.075202
9598916794,-0.081444,0.921085,0.022798
9598937434,-0.130444,0.774085,0.022798
9598958072,-0.130444,0.872085,-0.026202
9598978710,-0.032444,0.872085,0.022798
9598999349,-0.081444,0.921085,0.071798
9599019988,-0.032444,0.823085,0.120798
9599040626,-0.032444,0.823085,0.022798
9599061264,-0.081444,0.823085,-0.075202
9599081902,-0.130444,0.774085,0.071798
9599102540,-0.130444,0.774085,-0.026202
9599123178,-0.032444,0.774085,-0.026202
9599143816,-0.032444,0.921085,0.022798
9599164454,0.016556,0.823085,-0.075202
9599185093,0.016556,0.921085,-0.075202
9599205731,-0.032444,0.921085,-0.075202
9599226370,-0.130444,0.970085,-0.026202
9599247008,-0.032444,1.019085,-0.173202
9599267646,-0.081444,0.970085,-0.222202
9599288285,-0.081444,1.019085,-0.271202
9599308923,-0.032444,1.068085,-0.369202
9599329561,-0.081444,0.970085,-0.271202
9599350198,-0.130444,1.019085,-0.418202
9599370836,-0.081444,1.019085,-0.467202
9599391474,-0.032444,0.921085,-0.320202
9599412112,-0.032444,0.872085,-0.320202
9599432750,-0.032444,0.823085,-0.222202
9599453388,-0.081444,0.774085,-0.173202
9599474025,-0.130444,0.872085,-0.320202
9599494661,-0.081444,0.823085,-0.222202
9599515297,-0.130444,0.823085,-0.320202
9599535933,-0.130444,0.823085,-0.124202
9599556568,-0.179444,0.872085,-0.173202
9599577203,-0.130444,0.774085,-0.222202
9599597839,-0.130444,0.872085,-0.369202
9599618474,-0.081444,0.921085,-0.369202
9599639109,-0.130444,0.921085,-0.369202
9599659744,-0.130444,0.921085,-0.418202
9599680380,-0.081444,0.921085,-0.418202
9599701016,-0.081444,0.872085,-0.369202
9599721652,-0.081444,0.921085,-0.369202
9599742289,-0.032444,0.970085,-0.369202
9599762925,-0.032444,1.019085,-0.369202
9599783561,-0.032444,1.019085,-0.271202
9599804199,0.065556,1.019085,-0.222202
9599824837,0.163556,1.019085,-0.026202
9599845476,-0.032444,0.921085,-0.075202
9599866114,0.016556,0.872085,-0.026202
9599886752,0.065556,0.921085,0.071798
9599907390,-0.032444,0.872085,0.120798
9599928028,-0.081444,0.921085,0.022798
9599948667,-0.032444,0.774085,0.022798
9599969306,0.016556,0.774085,0.022798
9599989944,-0.032444,0.823085,-0.026202
9600010583,-0.179444,0.774085,-0.026202
9600031221,0.016556,0.725085,-0.026202
9600051858,-0.130444,0.872085,-0.026202
9600072494,-0.032444,0.872085,-0.124202
9600093129,-0.130444,0.872085,-0.124202
9600113765,-0.032444,0.823085,-0.026202
9600134402,0.016556,0.872085,-0.124202
9600155039,-0.032444,0.921085,-0.075202
9600175675,0.016556,0.921085,0.071798
9600196311,-0.032444,0.872085,-0.124202
9600216948,0.065556,0.725085,-0.124202
9600237585,0.016556,0.823085,-0.124202
9600258221,-0.032444,0.872085,-0.026202
9600278857,-0.032444,0.872085,0.022798
9600299492,-0.081444,0.872085,-0.075202
9600320128,-0.032444,0.823085,0.022798
9600340764,-0.081444,0.823085,-0.075202
9600361400,0.016556,0.823085,0.022798
9600382037,0.114556,0.823085,-0.173202
9600402674,-0.032444,0.872085,0.071798
9600423311,-0.081444,0.823085,-0.124202
9600443948,0.065556,0.823085,0.071798
9600464585,0.065556,0.774085,0.022798
9600485222,-0.032444,0.823085,-0.026202
9600505860,-0.081444,0.725085,-0.026202
9600526497,-0.081444,0.872085,-0.124202
9600547134,-0.081444,0.872085,-0.026202
9600567772,0.016556,0.970085,-0.222202
9600588410,-0.032444,0.970085,-0.320202
9600609048,-0.130444,1.019085,-0.271202
9600629686,-0.032444,1.019085,-0.369202
9600650324,-0.081444,1.019085,-0.369202
9600670962,-0.081444,1.117085,-0.320202
9600691599,-0.032444,1.019085,-0.467202
9600712237,-0.032444,0.970085,-0.418202
9600732875,-0.081444,0.921085,-0.369202
9600753513,-0.081444,0.970085,-0.271202
9600774151,-0.032444,0.921085,-0.271202
9600794788,0.016556,0.823085,-0.369202
9600815426,-0.081444,0.774085,-0.271202
9600836064,-0.081444,0.774085,-0.173202
9600856701,-0.130444,0.774085,-0.222202
9600877337,-0.130444,0.725085,-0.271202
9600897973,-0.130444,0.774085,-0.271202
9600918609,-0.130444,0.823085,-0.271202
9600939245,-0.179444,0.823085,-0.271202
9600959881,-0.081444,0.872085,-0.271202
9600980517,-0.032444,1.019085,-0.271202
9601001154,-0.081444,0.921085,-0.467202
9601021790,-0.130444,0.872085,-0.369202
9601042426,-0.081444,0.970085,-0.271202
9601063062,-0.081444,0.921085,-0.320202
9601083698,-0.032444,1.019085,-0.271202
9601104334,0.016556,1.068085,-0.271202
9601124970,-0.130444,1.215085,-0.173202
9601145605,-0.130444,1.019085,-0.271202
9601166240,0.016556,0.921085,-0.124202
9601186876,-0.081444,0.921085,0.071798
9601207516,-0.081444,0.970085,0.071798
9601228146,0.016556,1.019085,-0.075202
9601248782,0.065556,0.823085,0.022798
9601269417,0.016556,0.725085,0.071798
9601290053,-0.081444,0.823085,0.169798
