Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9597903329,0.520254,-0.914434,-0.050199,0.006395,0.978194,0.228086
9597905826,0.581202,-1.036126,-0.049317,0.011497,0.981776,0.230349
9597908323,0.642340,-1.157922,-0.109124,0.013747,0.984681,0.226035
9597910821,0.581372,-1.097026,-0.109674,0.009357,0.983259,0.227430
9597913318,0.398849,-0.914547,-0.232700,0.008602,0.982530,0.229596
9597915816,0.093862,-0.488372,-0.175424,0.009398,0.984724,0.224534
9597918313,-0.333117,-0.122793,-0.118253,0.008727,0.986200,0.220177
9597920811,-0.759907,0.242682,-0.121770,0.005896,0.985532,0.211420
9597923308,-1.064763,0.486365,-0.124188,0.004497,0.988462,0.208520
9597925806,-1.369201,0.851431,-0.248645,0.007378,0.986255,0.209262
9597928304,-1.551876,1.155606,-0.311645,0.009554,0.984061,0.207816
9597930801,-1.734758,1.399089,-0.313626,0.011688,0.981127,0.209997
9597933298,-1.673544,1.520476,-0.374759,0.013108,0.978205,0.210718
9597935796,-1.429561,1.641667,-0.374549,0.014527,0.978903,0.215099
9597938293,-0.941670,1.640866,-0.372802,0.014436,0.978142,0.223813
9597940791,-0.331787,1.700661,-0.370950,0.011492,0.978153,0.227415
9597943288,0.339252,1.699456,-0.429236,0.011478,0.977424,0.228136
9597945802,1.009875,1.576868,-0.365483,0.013667,0.976684,0.226701
9597948282,1.619283,1.332893,-0.240597,0.011438,0.974512,0.229567
9597950779,2.228881,1.088813,-0.176400,0.012912,0.975955,0.228867
9597953277,2.716526,0.905730,-0.112970,0.011493,0.976706,0.225950
9597955774,3.082387,0.722742,-0.110666,0.008577,0.976728,0.226645
9597958272,3.387280,0.600650,-0.108911,0.007144,0.976749,0.224449
9597960769,3.569614,0.418276,0.074803,0.005698,0.976040,0.222974
9597963267,3.691132,0.175102,0.197942,0.006465,0.978946,0.221551
9597965764,3.812479,-0.007172,0.381437,0.007872,0.975295,0.222993
9597968262,3.873049,-0.128655,0.503694,0.006371,0.971668,0.224402
9597970759,3.933599,-0.310934,0.626283,0.006405,0.974578,0.223698
9597973256,3.872367,-0.493116,0.687748,0.005692,0.973866,0.221504
9597975754,3.689351,-0.675203,0.688087,0.004278,0.976790,0.220057
9597978251,3.628515,-0.796799,0.627843,0.002165,0.980457,0.216428
9597980749,3.506693,-0.918294,0.567382,0.000686,0.976115,0.214925
9597983247,3.506845,-1.039990,0.507357,-0.000088,0.971034,0.214879
9597985744,3.384834,-1.161382,0.507583,0.000661,0.971036,0.212707
9597988241,3.202025,-1.282777,0.446903,0.003652,0.973216,0.206215
9597990739,3.019066,-1.282477,0.446247,0.000820,0.974720,0.199655
9597993236,2.897283,-1.282381,0.385123,0.000827,0.975447,0.199660
9597995734,2.775557,-1.099898,0.323003,0.001485,0.972517,0.204006
9597998231,2.654209,-0.917624,0.139508,-0.001420,0.968199,0.199581
9598000729,2.532483,-0.735141,0.077389,0.001522,0.971083,0.198908
9598003227,2.471554,-0.552654,0.076176,0.005142,0.973218,0.202598
9598005724,2.532598,-0.370367,0.075400,0.002158,0.969593,0.206898
9598008221,2.715822,-0.127589,0.014041,0.004277,0.968101,0.211998
9598010719,2.899047,0.115190,-0.047318,0.007933,0.968078,0.209858
9598013216,3.082461,0.357864,-0.169365,0.011534,0.968033,0.213531
9598015713,3.265439,0.418359,-0.169041,0.012232,0.969463,0.217910
9598018211,3.448569,0.357159,-0.228743,0.012169,0.967990,0.222985
9598020709,3.570503,0.235367,-0.227643,0.011433,0.971613,0.227365
9598023206,3.753443,0.174271,-0.226657,0.012179,0.973787,0.227389
9598025704,3.814410,0.113375,-0.226107,0.014367,0.974495,0.227419
9598028201,3.936610,0.234662,-0.287021,0.015870,0.975950,0.223813
9598030699,3.936800,0.234558,-0.347709,0.015184,0.977421,0.220909
9598033196,3.875775,0.113067,-0.347265,0.014455,0.980322,0.223830
9598035694,3.814504,-0.190708,-0.285138,0.010092,0.981084,0.224514
9598038191,3.753252,-0.433686,-0.223342,0.007205,0.981117,0.222303
9598040688,3.752986,-0.676765,-0.161328,0.007212,0.981120,0.221576
9598043186,3.691792,-0.737356,-0.100527,0.010114,0.979644,0.220870
9598045683,3.691375,-0.858738,0.021512,0.008662,0.976037,0.217193
9598048181,3.752115,-1.041121,0.083413,0.007963,0.977503,0.215743
9598050679,3.873841,-1.223604,0.145532,0.007961,0.980398,0.218672
9598053176,3.995605,-1.284496,0.206989,0.004313,0.978252,0.217889
9598055673,4.117427,-1.163000,0.267451,0.007208,0.976050,0.217177
9598058171,4.239230,-1.102300,0.328244,0.009431,0.977496,0.214306
9598060668,4.361221,-1.041705,0.328349,0.006543,0.978253,0.212826
9598063166,4.483025,-0.981005,0.389142,0.003547,0.972451,0.216383
9598065663,4.544011,-0.981105,0.389361,0.000672,0.975385,0.215647
9598068161,4.605206,-0.920514,0.328560,0.005042,0.975350,0.214968
9598070658,4.605375,-0.981414,0.268203,0.005021,0.974618,0.216415
9598073155,4.605545,-1.042314,0.207846,0.002845,0.976811,0.217862
9598075653,4.605318,-1.163801,0.269197,0.007125,0.973845,0.223700
9598078151,4.605279,-1.285392,0.269860,0.005692,0.974590,0.222237
9598080648,4.605431,-1.407088,0.209835,0.004972,0.973151,0.220038
9598083146,4.483420,-1.528479,0.210062,0.004952,0.972418,0.221485
9598085643,4.239436,-1.649671,0.209851,0.005012,0.978235,0.220803
9598088141,3.995263,-1.770757,0.270329,0.005836,0.979716,0.212102
9598090638,3.568321,-1.891648,0.269463,0.001510,0.979043,0.207689
9598093136,3.202345,-2.073435,0.269148,0.003753,0.981945,0.204102
9598095633,2.836540,-2.316122,0.208475,0.008201,0.979770,0.193233
9598098131,2.470772,-2.437217,0.147140,0.007460,0.979046,0.193946
