Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9597943058,-0.142524,-1.418346,0.177323
9597992700,-0.124772,-1.418416,0.177511
9598042339,-0.142808,-1.418662,0.198155
9598091988,-0.133793,-1.409509,0.187865
9598141630,-0.125059,-1.409662,0.198386
9598191275,-0.124772,-1.418395,0.177517
9598240923,-0.142666,-1.418535,0.187731
9598290573,-0.142673,-1.400414,0.187809
9598340225,-0.142953,-1.409740,0.208612
9598389873,-0.142815,-1.400542,0.198231
9598439528,-0.134220,-1.409933,0.219127
9598489179,-0.134216,-1.418983,0.219090
9598538836,-0.133936,-1.409617,0.198292
9598588492,-0.125339,-1.419091,0.219187
9598638141,-0.142954,-1.409781,0.208609
9598687799,-0.134220,-1.409933,0.219127
9598737455,-0.143092,-1.418938,0.218993
9598787101,-0.134074,-1.418835,0.208671
9598836749,-0.134074,-1.418835,0.208671
9598886398,-0.151680,-1.427688,0.198022
9598936048,-0.151538,-1.427540,0.187603
9598985690,-0.151403,-1.409271,0.177262
9599035331,-0.133790,-1.418539,0.187833
9599084970,-0.142804,-1.427734,0.198116
9599134616,-0.143095,-1.409888,0.219030
9599184254,-0.134646,-1.410398,0.250389
9599233896,-0.134934,-1.401623,0.271259
9599283548,-0.135221,-1.392849,0.292122
9599333195,-0.126487,-1.393083,0.302674
9599382841,-0.108877,-1.393260,0.313276
9599432489,-0.109311,-1.375583,0.344592
9599482132,-0.127343,-1.384880,0.365200
9599531771,-0.118475,-1.366785,0.365348
9599581408,-0.118475,-1.366804,0.365370
9599631054,-0.118478,-1.357754,0.365406
9599680702,-0.109311,-1.375563,0.344574
9599730347,-0.118187,-1.375539,0.344477
9599779990,-0.108880,-1.384210,0.313313
9599829635,-0.126203,-1.392766,0.281820
9599879283,-0.134646,-1.410418,0.250393
9599928926,-0.134362,-1.410102,0.229547
9599978573,-0.143380,-1.410204,0.239868
9600028216,-0.152395,-1.419399,0.250158
9600077857,-0.169578,-1.418736,0.208283
9600127505,-0.169717,-1.427955,0.218666
9600177150,-0.151542,-1.418489,0.187639
9600226796,-0.169298,-1.409389,0.187481
9600276441,-0.169582,-1.409685,0.208319
9600326084,-0.160415,-1.427557,0.187496
9600375722,-0.160280,-1.409266,0.177159
9600425359,-0.160557,-1.427705,0.197918
9600474999,-0.152114,-1.410031,0.229352
9600524637,-0.152547,-1.392355,0.260676
9600574283,-0.152974,-1.392840,0.291950
9600623930,-0.162279,-1.384188,0.323135
9600673572,-0.171444,-1.375429,0.343931
9600723216,-0.162711,-1.375622,0.354469
9600772867,-0.145245,-1.366878,0.375498
9600822518,-0.144961,-1.366602,0.354679
9600872168,-0.153696,-1.366448,0.344180
9600921824,-0.153692,-1.375479,0.344125
9600971477,-0.162852,-1.375750,0.364870
9601021126,-0.153553,-1.366261,0.333724
9601070777,-0.135509,-1.384155,0.313035
9601120422,-0.135363,-1.393017,0.302552
9601170066,-0.152694,-1.383493,0.271145
9601219716,-0.161133,-1.410175,0.239677
9601269357,-0.178458,-1.409661,0.208222
9601319004,-0.187195,-1.409549,0.197697
9601368655,-0.169149,-1.427363,0.176983
9601418296,-0.178317,-1.409533,0.197800
9601467941,-0.178172,-1.418456,0.187338
9601517592,-0.187046,-1.418390,0.187251
9601567237,-0.204661,-1.409162,0.176667
9601616879,-0.186908,-1.409192,0.176868
9601666532,-0.178027,-1.427379,0.176874
9601716178,-0.186763,-1.418114,0.166405
9601765825,-0.169295,-1.418481,0.187435
9601815478,-0.169436,-1.418588,0.197864
9601865138,-0.169728,-1.400804,0.218775
9601914788,-0.188050,-1.401367,0.260269
9601964437,-0.179462,-1.383526,0.281256
9602014096,-0.171019,-1.375005,0.312683
9602063756,-0.170870,-1.392978,0.302200
9602113414,-0.153265,-1.375015,0.312850
9602163063,-0.162425,-1.375286,0.333591
9602212711,-0.171447,-1.366359,0.343949
9602262360,-0.180610,-1.366670,0.364733
9602312010,-0.154122,-1.366873,0.375424
9602361655,-0.145246,-1.366937,0.375567
9602411302,-0.145110,-1.348629,0.365151
9602460944,-0.153553,-1.366281,0.333741
9602510590,-0.162571,-1.366384,0.344046
9602560237,-0.153692,-1.375499,0.344144
9602609893,-0.171586,-1.375577,0.354352
9602659543,-0.189055,-1.375231,0.333316
9602709188,-0.189057,-1.366161,0.333336
9602758839,-0.189338,-1.384618,0.354161
9602808491,-0.180463,-1.375553,0.354255
9602858137,-0.162853,-1.375770,0.364891
9602907783,-0.163427,-1.358222,0.406597
9602957433,-0.163719,-1.340437,0.427539
9603007085,-0.154847,-1.331411,0.427672
