Timestamp (us),W Element,X Element,Y Element,Z Element
9597903329,-0.110039,-0.083194,0.622036,0.770898
9597905826,-0.110016,-0.083170,0.622045,0.770897
9597908323,-0.109991,-0.083145,0.622056,0.770895
9597910821,-0.109965,-0.083122,0.622065,0.770893
9597913318,-0.109940,-0.083104,0.622070,0.770895
9597915816,-0.109923,-0.083091,0.622071,0.770898
9597918313,-0.109912,-0.083083,0.622065,0.770906
9597920811,-0.109905,-0.083081,0.622053,0.770916
9597923308,-0.109902,-0.083083,0.622036,0.770930
9597925806,-0.109903,-0.083091,0.622013,0.770948
9597928304,-0.109908,-0.083104,0.621986,0.770967
9597930801,-0.109917,-0.083121,0.621955,0.770989
9597933298,-0.109927,-0.083139,0.621925,0.771010
9597935796,-0.109939,-0.083160,0.621896,0.771029
9597938293,-0.109950,-0.083182,0.621874,0.771043
9597940791,-0.109961,-0.083206,0.621861,0.771050
9597943288,-0.109975,-0.083238,0.621858,0.771047
9597945802,-0.109988,-0.083269,0.621867,0.771034
9597948282,-0.109998,-0.083295,0.621886,0.771015
9597950779,-0.110005,-0.083317,0.621916,0.770986
9597953277,-0.110010,-0.083337,0.621956,0.770952
9597955774,-0.110010,-0.083356,0.622003,0.770912
9597958272,-0.110009,-0.083374,0.622055,0.770868
9597960769,-0.110007,-0.083387,0.622111,0.770822
9597963267,-0.110004,-0.083395,0.622171,0.770773
9597965764,-0.110001,-0.083397,0.622232,0.770724
9597968262,-0.109999,-0.083395,0.622295,0.770673
9597970759,-0.109996,-0.083390,0.622360,0.770622
9597973256,-0.109992,-0.083380,0.622424,0.770572
9597975754,-0.109985,-0.083368,0.622487,0.770524
9597978251,-0.109975,-0.083354,0.622549,0.770476
9597980749,-0.109962,-0.083340,0.622610,0.770430
9597983247,-0.109946,-0.083325,0.622671,0.770385
9597985744,-0.109929,-0.083307,0.622731,0.770341
9597988241,-0.109910,-0.083288,0.622789,0.770298
9597990739,-0.109891,-0.083268,0.622847,0.770257
9597993236,-0.109861,-0.083242,0.622903,0.770218
9597995734,-0.109833,-0.083218,0.622956,0.770183
9597998231,-0.109803,-0.083201,0.623006,0.770148
9598000729,-0.109776,-0.083186,0.623054,0.770114
9598003227,-0.109752,-0.083174,0.623100,0.770082
9598005724,-0.109731,-0.083165,0.623145,0.770049
9598008221,-0.109712,-0.083160,0.623191,0.770015
9598010719,-0.109695,-0.083161,0.623240,0.769978
9598013216,-0.109681,-0.083166,0.623290,0.769939
9598015713,-0.109667,-0.083172,0.623342,0.769898
9598018211,-0.109652,-0.083178,0.623396,0.769856
9598020709,-0.109635,-0.083183,0.623451,0.769814
9598023206,-0.109616,-0.083187,0.623509,0.769769
9598025704,-0.109598,-0.083189,0.623568,0.769723
9598028201,-0.109580,-0.083194,0.623630,0.769675
9598030699,-0.109560,-0.083201,0.623693,0.769626
9598033196,-0.109540,-0.083205,0.623754,0.769579
9598035694,-0.109515,-0.083205,0.623815,0.769533
9598038191,-0.109487,-0.083200,0.623876,0.769488
9598040688,-0.109457,-0.083191,0.623938,0.769443
9598043186,-0.109436,-0.083185,0.623998,0.769398
9598045683,-0.109414,-0.083175,0.624060,0.769352
9598048181,-0.109391,-0.083162,0.624124,0.769305
9598050679,-0.109366,-0.083146,0.624189,0.769257
9598053176,-0.109341,-0.083129,0.624257,0.769208
9598055673,-0.109318,-0.083112,0.624327,0.769156
9598058171,-0.109298,-0.083096,0.624399,0.769102
9598060668,-0.109277,-0.083082,0.624474,0.769046
9598063166,-0.109258,-0.083069,0.624549,0.768989
9598065663,-0.109238,-0.083057,0.624626,0.768931
9598068161,-0.109219,-0.083046,0.624703,0.768872
9598070658,-0.109197,-0.083035,0.624780,0.768813
9598073155,-0.109174,-0.083024,0.624857,0.768755
9598075653,-0.109151,-0.083009,0.624932,0.768699
9598078151,-0.109126,-0.082992,0.625008,0.768643
9598080648,-0.109099,-0.082974,0.625085,0.768586
9598083146,-0.109070,-0.082954,0.625159,0.768532
9598085643,-0.109040,-0.082932,0.625230,0.768481
9598088141,-0.109009,-0.082906,0.625300,0.768431
9598090638,-0.108977,-0.082878,0.625364,0.768387
9598093136,-0.108939,-0.082844,0.625424,0.768347
9598095633,-0.108899,-0.082805,0.625481,0.768310
9598098131,-0.108857,-0.082763,0.625532,0.768279
9598100628,-0.108813,-0.082724,0.625577,0.768253
9598103126,-0.108769,-0.082686,0.625618,0.768230
9598105623,-0.108726,-0.082652,0.625656,0.768209
9598108121,-0.108687,-0.082616,0.625688,0.768192
9598110618,-0.108649,-0.082582,0.625715,0.768179
9598113116,-0.108615,-0.082549,0.625741,0.768166
9598115613,-0.108581,-0.082524,0.625767,0.768153
