Timestamp (us),Percentage (%),Power (dBm)
9598168178,90.000000,-55.000000
9599159178,100.000000,-50.000000
9600156200,100.000000,-49.000000
9601165155,90.000000,-55.000000
9602169142,86.000000,-57.000000
9603163154,94.000000,-53.000000
9604156316,98.000000,-51.000000
9605166120,96.000000,-52.000000
9606165113,94.000000,-53.000000
9607160487,100.000000,-50.000000
9608155632,96.000000,-52.000000
9609164176,96.000000,-52.000000
9610164154,100.000000,-49.000000
9611167567,94.000000,-53.000000
9612164061,82.000000,-59.000000
9613170546,72.000000,-64.000000
9614159565,96.000000,-52.000000
9615158559,100.000000,-50.000000
9616157533,96.000000,-52.000000
9617160422,96.000000,-52.000000
9618165507,96.000000,-52.000000
9619162331,92.000000,-54.000000
9620155217,74.000000,-63.000000
9621159987,66.000000,-67.000000
9622166487,54.000000,-73.000000
9623157973,80.000000,-60.000000
9624159517,76.000000,-62.000000
9625155973,94.000000,-53.000000
9626156069,94.000000,-53.000000
9627160042,94.000000,-53.000000
9628171522,96.000000,-52.000000
9629168015,98.000000,-51.000000
9630159531,98.000000,-51.000000
9631161005,90.000000,-55.000000
9632174984,100.000000,-49.000000
9633156521,100.000000,-47.000000
9634159648,86.000000,-57.000000
9635164465,78.000000,-61.000000
9636165955,82.000000,-59.000000
9637169547,96.000000,-52.000000
9638163960,100.000000,-49.000000
9639161513,86.000000,-57.000000
9640159425,96.000000,-52.000000
9641163316,94.000000,-53.000000
9642169898,76.000000,-62.000000
9643168887,76.000000,-62.000000
9644162883,84.000000,-58.000000
9645163453,72.000000,-64.000000
9646170873,64.000000,-68.000000
9647159857,98.000000,-51.000000
9648156351,88.000000,-56.000000
9649160339,84.000000,-58.000000
9650166824,80.000000,-60.000000
