Timestamp (us),Percentage (%),Voltage (V),Charging Status
9598530859,86.238571,3.862386,0.000000
9599531394,86.198288,3.861983,0.000000
9600531925,86.209030,3.862090,0.000000
9601532456,86.192917,3.861929,0.000000
9602532988,86.196945,3.861969,0.000000
9603533562,86.188889,3.861889,0.000000
9604534092,86.168747,3.861687,0.000000
9605534627,86.180832,3.861808,0.000000
9606535160,86.163376,3.861634,0.000000
9607535691,86.168762,3.861687,0.000000
9608536222,86.163376,3.861634,0.000000
9609536754,86.158020,3.861580,0.000000
9610537285,86.159348,3.861594,0.000000
9611537815,86.144577,3.861446,0.000000
9612538349,86.160690,3.861607,0.000000
9613538884,86.148605,3.861486,0.000000
9614539415,86.120422,3.861204,0.000000
9615539946,86.123093,3.861231,0.000000
9616540511,86.120407,3.861204,0.000000
9617541045,86.112358,3.861124,0.000000
9618541576,86.117737,3.861177,0.000000
9619542107,86.127121,3.861271,0.000000
9620542639,86.128464,3.861285,0.000000
9621543171,86.108322,3.861083,0.000000
9622543702,86.088196,3.860882,0.000000
9623544238,86.069382,3.860694,0.000000
9624544769,86.090881,3.860909,0.000000
9625545302,86.119064,3.861191,0.000000
9626545835,86.085495,3.860855,0.000000
9627546366,86.090866,3.860909,0.000000
9628546899,86.090866,3.860909,0.000000
9629547430,86.061333,3.860613,0.000000
9630548012,86.058640,3.860587,0.000000
9631548545,86.050591,3.860506,0.000000
9632549077,86.059982,3.860600,0.000000
9633549608,86.055954,3.860559,0.000000
9634550142,86.030441,3.860304,0.000000
9635550675,86.049240,3.860492,0.000000
9636551206,86.031784,3.860318,0.000000
9637551739,86.023727,3.860237,0.000000
9638552271,86.045212,3.860452,0.000000
9639552806,86.019699,3.860197,0.000000
9640553337,86.030441,3.860305,0.000000
9641553872,86.033127,3.860331,0.000000
9642554403,86.049240,3.860492,0.000000
9643554936,86.011650,3.860116,0.000000
9644555467,86.011650,3.860116,0.000000
9645556001,85.978081,3.859781,0.000000
9646556535,86.003586,3.860036,0.000000
9647557101,85.992844,3.859929,0.000000
9648557632,86.004929,3.860049,0.000000
9649558165,85.995529,3.859956,0.000000
9650558697,85.988808,3.859888,0.000000
