Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9597914009,0.421069,0.989445,-0.537987
9597933908,0.372069,0.891445,-0.537987
9597953780,0.323069,0.940445,-0.733987
9597973665,0.421069,0.940445,-0.635987
9597993551,0.372069,0.891445,-0.537987
9598013437,0.372069,0.940445,-0.635987
9598033323,0.274069,1.038445,-0.635987
9598053209,0.421069,0.891445,-0.635987
9598073095,0.372069,0.891445,-0.537987
9598092980,0.421069,0.891445,-0.635987
9598112865,0.323069,0.989445,-0.635987
9598132750,0.372069,0.891445,-0.586987
9598152634,0.323069,0.989445,-0.635987
9598172519,0.372069,0.891445,-0.586987
9598192403,0.274069,0.989445,-0.537987
9598212288,0.372069,0.940445,-0.733987
9598232173,0.372069,0.842445,-0.684987
9598252059,0.323069,0.940445,-0.684987
9598271946,0.323069,0.940445,-0.733987
9598291832,0.372069,0.891445,-0.733987
9598311719,0.421069,0.940445,-0.684987
9598331604,0.323069,0.940445,-0.635987
9598351490,0.470069,0.940445,-0.684987
9598371376,0.470069,0.940445,-0.635987
9598391261,0.372069,0.891445,-0.635987
9598411145,0.274069,0.842445,-0.782987
9598431030,0.274069,0.989445,-0.635987
9598450916,0.323069,0.940445,-0.684987
9598470800,0.372069,0.989445,-0.586987
9598490685,0.274069,1.038445,-0.782987
9598510570,0.323069,0.891445,-0.635987
9598530454,0.372069,0.940445,-0.782987
9598550339,0.470069,0.989445,-0.782987
9598570247,0.372069,0.940445,-1.027987
9598590111,0.323069,0.940445,-0.929987
9598609996,0.372069,0.891445,-0.929987
9598629881,0.176069,0.940445,-0.929987
9598649766,0.176069,0.891445,-0.929987
9598669652,0.274069,0.940445,-0.929987
9598689537,0.372069,1.038445,-0.880987
9598709422,0.274069,1.087445,-1.076987
9598729307,0.274069,0.989445,-1.125987
9598749192,0.323069,0.940445,-1.027987
9598769078,0.421069,0.989445,-1.027987
9598788964,0.519069,0.891445,-1.027987
9598808850,0.470069,0.842445,-0.880987
9598828735,0.519069,0.744445,-0.831987
9598848621,0.519069,0.744445,-0.831987
9598868507,0.372069,0.695445,-0.831987
9598888392,0.323069,0.499445,-0.880987
9598908278,0.323069,0.597445,-0.831987
9598928165,0.225069,0.499445,-0.978987
9598948052,0.127069,0.548445,-0.880987
9598967939,0.176069,0.597445,-0.831987
9598987824,0.225069,0.499445,-0.880987
9599007709,0.176069,0.548445,-0.831987
9599027594,0.029069,0.695445,-0.929987
9599047479,0.078069,0.695445,-1.027987
9599067364,0.078069,1.038445,-1.076987
9599087249,0.225069,1.087445,-1.076987
9599107135,0.225069,1.136445,-1.174987
9599127020,0.176069,1.185445,-1.125987
9599146907,0.225069,1.234445,-1.076987
9599166792,0.078069,1.332445,-1.027987
9599186678,-0.068931,1.283445,-0.978987
9599206596,-0.117931,1.087445,-1.125987
9599226448,-0.313931,1.136445,-1.027987
9599246333,-0.313931,1.136445,-1.027987
9599266219,-0.509931,0.989445,-1.076987
9599286105,-0.509931,0.891445,-0.929987
9599305991,-0.656931,0.940445,-1.125987
9599325877,-0.656931,0.940445,-1.174987
9599345763,-0.705931,0.891445,-1.174987
9599365649,-0.656931,0.744445,-1.174987
9599385535,-0.362931,0.646445,-1.223987
9599405420,-0.117931,0.646445,-1.125987
9599425306,-0.019931,0.548445,-1.076987
9599445192,-0.215931,0.450445,-1.076987
9599465077,-0.215931,0.401445,-0.978987
9599484963,-0.117931,0.352445,-1.027987
9599504848,-0.019931,0.352445,-1.027987
9599524733,-0.068931,0.450445,-0.978987
9599544618,-0.215931,0.401445,-0.880987
9599564503,-0.411931,0.401445,-0.978987
9599584387,-0.411931,0.450445,-1.076987
9599604272,-0.411931,0.499445,-0.929987
9599624158,-0.313931,0.548445,-0.929987
9599644043,-0.166931,0.646445,-0.880987
9599663930,-0.068931,0.695445,-0.635987
9599683816,-0.264931,0.940445,-0.831987
9599703702,-0.411931,0.989445,-0.733987
9599723587,-0.411931,1.136445,-0.929987
9599743472,-0.607931,1.381445,-1.027987
9599763358,-0.705931,1.626445,-0.880987
9599783245,-0.509931,1.626445,-0.978987
9599803132,-0.362931,1.724445,-1.076987
9599823018,-0.117931,1.822445,-1.076987
9599842931,-0.215931,1.724445,-0.880987
9599862789,-0.019931,1.528445,-0.831987
9599882674,0.127069,1.479445,-0.782987
9599902560,0.078069,1.381445,-0.831987
9599922446,0.127069,1.185445,-1.076987
9599942331,0.127069,1.087445,-1.076987
9599962216,0.176069,0.891445,-0.978987
9599982101,0.176069,0.695445,-0.929987
9600001987,0.470069,0.499445,-0.978987
9600021873,0.519069,0.499445,-0.978987
9600041758,0.421069,0.499445,-1.027987
9600061644,0.274069,0.450445,-0.978987
9600081529,0.372069,0.401445,-1.027987
9600101415,0.274069,0.352445,-1.125987
9600121300,0.372069,0.254445,-1.027987
9600141185,0.372069,0.156445,-1.076987
9600161069,0.323069,0.254445,-0.978987
9600180955,0.323069,0.205445,-1.076987
9600200839,0.225069,0.303445,-1.076987
9600220724,0.274069,0.205445,-1.174987
9600240610,0.274069,0.205445,-1.076987
9600260494,0.323069,0.303445,-1.076987
9600280379,0.274069,0.303445,-1.076987
9600300263,0.225069,0.254445,-1.125987
