Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9597950601,-0.024926,-1.261219,0.038258
9598001073,-0.025109,-1.252045,0.048588
9598051541,-0.025109,-1.252045,0.048588
9598102015,-0.034679,-1.261622,0.079504
9598152493,-0.034214,-1.270592,0.048505
9598202973,-0.034396,-1.261400,0.058830
9598253452,-0.025349,-1.261517,0.069265
9598303930,-0.025447,-1.270878,0.079605
9598354405,-0.034961,-1.261843,0.100178
9598404885,-0.025815,-1.252599,0.100273
9598455363,-0.026099,-1.252856,0.120973
9598505835,-0.017290,-1.262393,0.152041
9598556310,-0.026141,-1.243571,0.120944
9598606789,-0.017235,-1.243833,0.141747
9598657266,-0.027412,-1.244587,0.214002
9598707741,-0.037350,-1.235885,0.265592
9598758216,-0.056701,-1.208770,0.327375
9598808683,-0.066726,-1.181584,0.379001
9598859157,-0.095878,-1.145689,0.482141
9598909636,-0.087340,-1.127638,0.523592
9598960115,-0.087750,-1.100108,0.544263
9599010594,-0.069143,-1.118496,0.534054
9599061067,0.023211,-1.127460,0.503956
9599111542,0.123779,-1.109375,0.536110
9599162015,0.270159,-1.063541,0.568602
9599212491,0.453179,-0.962135,0.591203
9599262973,0.626864,-0.823740,0.613855
9599313449,0.754485,-0.638916,0.625340
9599363924,0.826378,-0.473128,0.688089
9599414404,0.797551,-0.316299,0.729284
9599464878,0.787353,-0.196375,0.759962
9599515345,0.796259,-0.159483,0.770591
9599565810,0.806025,-0.168304,0.729138
9599616271,0.843319,-0.223608,0.708875
9599666741,0.854268,-0.352228,0.626487
9599717204,0.856720,-0.545269,0.512815
9599767674,0.757867,-0.784819,0.429043
9599818157,0.538643,-1.006457,0.406089
9599868631,0.263717,-1.135666,0.392853
9599919106,0.034211,-1.181795,0.390519
9599969574,-0.150405,-1.154459,0.440197
9600020045,-0.316756,-1.099370,0.489983
9600070513,-0.409973,-1.026083,0.561336
9600120980,-0.475687,-0.943588,0.633151
9600171449,-0.521792,-0.906544,0.632563
9600221910,-0.522030,-0.888165,0.642982
9600272388,-0.530667,-0.915578,0.611874
9600322866,-0.456396,-0.961460,0.571468
9600373334,-0.372768,-1.035052,0.530862
9600423797,-0.252116,-1.108456,0.470061
9600474282,-0.094905,-1.172791,0.420167
9600524732,0.152879,-1.163929,0.443493
9600575189,0.399937,-1.062754,0.487343
9600625648,0.618951,-0.887701,0.541329
9600676101,0.772838,-0.685420,0.646482
9600726557,0.770344,-0.483125,0.760167
9600777019,0.768796,-0.270802,0.801460
9600827482,0.777612,-0.168951,0.790866
9600877948,0.777625,-0.103968,0.770376
9600928414,0.805771,-0.140660,0.739564
9600978881,0.834303,-0.223485,0.698626
9601029351,0.854926,-0.426013,0.605992
9601079825,0.829948,-0.656035,0.491878
9601130290,0.657867,-0.923185,0.397047
9601180752,0.345921,-1.089692,0.414396
9601231232,0.071065,-1.172443,0.380518
9601281706,-0.195930,-1.154111,0.408741
9601332178,-0.398624,-1.098678,0.427192
9601382649,-0.519865,-0.988590,0.518939
9601433117,-0.612551,-0.905595,0.548876
9601483593,-0.704980,-0.822400,0.558281
9601534062,-0.732350,-0.803659,0.537301
9601584524,-0.704584,-0.812808,0.527188
9601634995,-0.658482,-0.877702,0.538038
9601685452,-0.556424,-0.969842,0.497861
9601735916,-0.426936,-1.062115,0.468307
9601786376,-0.260524,-1.126426,0.418387
9601836839,-0.012710,-1.154662,0.452008
9601887301,0.243662,-1.109138,0.506436
9601937763,0.490590,-1.008103,0.560747
9601988217,0.616522,-0.824603,0.696289
9602038681,0.604873,-0.622329,0.810155
9602089144,0.686592,-0.437483,0.821426
9602139609,0.778437,-0.279728,0.770435
9602190065,0.796856,-0.224013,0.750033
9602240534,0.814995,-0.233498,0.770914
9602290993,0.843959,-0.297386,0.688318
9602341455,0.854837,-0.444623,0.616178
9602391910,0.820082,-0.628726,0.533200
9602442365,0.720760,-0.831490,0.470020
9602492825,0.566330,-0.997139,0.396143
9602543288,0.464606,-1.043977,0.457068
9602593751,0.298865,-1.062700,0.486329
9602644213,0.372929,-1.090168,0.456103
9602694672,0.261814,-1.090760,0.516965
9602745146,0.187970,-1.081653,0.536716
9602795587,0.298436,-1.063019,0.517280
9602846042,0.435652,-0.989343,0.539473
9602896506,0.545024,-0.915868,0.582061
9602946964,0.654113,-0.777642,0.624721
9602997433,0.772611,-0.629927,0.646634
9603047905,0.836249,-0.491196,0.647017
9603098368,0.835488,-0.408277,0.678278
9603148833,0.816569,-0.390094,0.708920
9603199319,0.836137,-0.463446,0.647093
9603249766,0.846091,-0.472151,0.595567
9603300242,0.950171,-0.507003,0.389804
9603350712,0.931319,-0.535181,0.430877
9603401178,0.931748,-0.562714,0.410260
9603451642,0.931631,-0.572072,0.420550
9603502105,0.950126,-0.544104,0.399956
9603552576,0.959862,-0.562285,0.369142
9603603044,0.978578,-0.543463,0.338313
9603653507,0.969389,-0.543457,0.338215
9603703972,0.997173,-0.524756,0.317862
9603754439,1.006385,-0.534010,0.317924
9603804909,0.997603,-0.552289,0.297226
9603855383,1.007401,-0.561103,0.255956
9603905855,1.017220,-0.579163,0.214665
9603956316,1.026749,-0.569578,0.183695
9604006781,1.045430,-0.560128,0.163264
9604057259,1.024742,-0.534019,0.318081
9604107736,0.977221,-0.525961,0.431364
9604158209,0.873886,-0.555534,0.606152
9604208676,0.771943,-0.593232,0.677204
9604259150,0.762883,-0.611741,0.677382
9604309619,0.753864,-0.620870,0.666858
9604360088,0.762911,-0.620987,0.677296
9604410565,0.781602,-0.620788,0.656986
9604461033,0.809056,-0.630163,0.667537
9604511506,0.790693,-0.630156,0.667430
9604561981,0.809111,-0.648652,0.667367
9604612459,0.800249,-0.685543,0.657030
9604662928,0.791287,-0.741025,0.656776
9604713396,0.755057,-0.787046,0.635894
9604763867,0.783319,-0.805149,0.595070
9604814337,0.792380,-0.814499,0.605356
9604864810,0.792831,-0.823408,0.574260
9604915277,0.774301,-0.842147,0.594985
9604965756,0.764842,-0.851594,0.615416
9605016224,0.774256,-0.842118,0.594750
9605066696,0.865736,-0.749682,0.595777
9605117171,0.902224,-0.657095,0.585874
9605167635,0.919862,-0.592679,0.616995
9605218104,0.928560,-0.574521,0.648196
9605268575,0.882129,-0.565568,0.678641
9605319039,0.910159,-0.546638,0.637480
9605369501,0.928671,-0.537295,0.627499
9605419966,0.918806,-0.509983,0.668851
9605470438,0.946671,-0.481916,0.638103
9605520909,0.955793,-0.444803,0.627679
9605571390,0.974572,-0.435234,0.596927
9605621870,0.983614,-0.407486,0.596937
9605672355,1.011434,-0.370169,0.566195
