Timestamp (us),W Element,X Element,Y Element,Z Element
9597906381,0.437126,0.655743,0.352976,0.504551
9597908876,0.437113,0.655766,0.352971,0.504538
9597911371,0.437098,0.655789,0.352965,0.504525
9597913867,0.437083,0.655813,0.352958,0.504512
9597916363,0.437069,0.655837,0.352950,0.504498
9597918858,0.437052,0.655861,0.352943,0.504485
9597921354,0.437033,0.655886,0.352938,0.504474
9597923849,0.437011,0.655909,0.352936,0.504464
9597926344,0.436987,0.655931,0.352937,0.504456
9597928840,0.436957,0.655951,0.352941,0.504453
9597931335,0.436919,0.655972,0.352947,0.504454
9597933831,0.436872,0.655994,0.352959,0.504458
9597936326,0.436814,0.656017,0.352977,0.504466
9597938822,0.436745,0.656041,0.353002,0.504477
9597941317,0.436666,0.656066,0.353032,0.504492
9597943813,0.436578,0.656093,0.353065,0.504511
9597946308,0.436482,0.656121,0.353102,0.504531
9597948804,0.436380,0.656150,0.353143,0.504552
9597951299,0.436265,0.656172,0.353201,0.504582
9597953810,0.436144,0.656194,0.353262,0.504616
9597956290,0.436023,0.656217,0.353320,0.504650
9597958786,0.435898,0.656241,0.353378,0.504685
9597961281,0.435773,0.656265,0.353436,0.504722
9597963776,0.435648,0.656291,0.353491,0.504757
9597966272,0.435524,0.656322,0.353543,0.504788
9597968767,0.435403,0.656359,0.353592,0.504810
9597971263,0.435284,0.656405,0.353639,0.504820
9597973758,0.435167,0.656459,0.353682,0.504820
9597976253,0.435054,0.656521,0.353716,0.504813
9597978749,0.434947,0.656587,0.353747,0.504797
9597981245,0.434845,0.656660,0.353776,0.504771
9597983740,0.434746,0.656739,0.353805,0.504732
9597986235,0.434655,0.656824,0.353830,0.504683
9597988731,0.434570,0.656914,0.353853,0.504624
9597991226,0.434489,0.657009,0.353875,0.504553
9597993722,0.434412,0.657109,0.353898,0.504473
9597996217,0.434339,0.657216,0.353920,0.504381
9597998713,0.434269,0.657327,0.353942,0.504281
9598001208,0.434197,0.657441,0.353967,0.504177
9598003703,0.434127,0.657559,0.353992,0.504067
9598006199,0.434057,0.657680,0.354014,0.503953
9598008694,0.433987,0.657807,0.354033,0.503834
9598011190,0.433917,0.657939,0.354050,0.503710
9598013706,0.433848,0.658078,0.354067,0.503577
9598016188,0.433779,0.658222,0.354081,0.503438
9598018675,0.433707,0.658375,0.354093,0.503291
9598021170,0.433633,0.658534,0.354105,0.503138
9598023666,0.433558,0.658698,0.354114,0.502981
9598026161,0.433480,0.658870,0.354121,0.502819
9598028657,0.433400,0.659052,0.354124,0.502648
9598031152,0.433318,0.659243,0.354125,0.502467
9598033647,0.433236,0.659441,0.354122,0.502279
