Timestamp (us),Percentage (%),Power (dBm)
9598285805,92.000000,-54.000000
9599301456,94.000000,-53.000000
9600292150,80.000000,-60.000000
9601287841,98.000000,-51.000000
9602287824,84.000000,-58.000000
9603296679,90.000000,-55.000000
9604284881,96.000000,-52.000000
9605288080,84.000000,-58.000000
9606293722,84.000000,-58.000000
9607296898,96.000000,-52.000000
9608285098,84.000000,-58.000000
9609290790,84.000000,-58.000000
9610303890,88.000000,-56.000000
9611294640,72.000000,-64.000000
9612292838,88.000000,-56.000000
9613295984,70.000000,-65.000000
9614296663,74.000000,-63.000000
9615287378,92.000000,-54.000000
9616302174,90.000000,-55.000000
9617301199,94.000000,-53.000000
9618294407,100.000000,-50.000000
9619297569,100.000000,-48.000000
9620288272,88.000000,-56.000000
9621293939,82.000000,-59.000000
9622286275,70.000000,-65.000000
9623295302,64.000000,-68.000000
9624295836,84.000000,-58.000000
9625294168,80.000000,-60.000000
9626293218,88.000000,-56.000000
9627305511,82.000000,-59.000000
9628301200,78.000000,-61.000000
9629288169,74.000000,-63.000000
9630285129,98.000000,-51.000000
9631295791,92.000000,-54.000000
9632293941,92.000000,-54.000000
9633295700,84.000000,-58.000000
9634295304,72.000000,-64.000000
9635288246,72.000000,-64.000000
9636286685,64.000000,-68.000000
9637294852,92.000000,-54.000000
9638293039,94.000000,-53.000000
9639288755,88.000000,-56.000000
9640291125,94.000000,-53.000000
9641295083,100.000000,-50.000000
9642297448,86.000000,-57.000000
9644287143,68.000000,-66.000000
9645297213,68.000000,-66.000000
9646288387,72.000000,-64.000000
9647286691,80.000000,-60.000000
9648302343,74.000000,-63.000000
9649295540,84.000000,-58.000000
9650283759,78.000000,-61.000000
