Timestamp (us),Temperature (degC)
9598862139,37.250000
9599860321,37.250000
9600858504,37.250000
9601856684,37.250000
9602854868,37.250000
9603853050,37.250000
9604851232,37.174999
9605849416,37.150002
9606847598,37.250000
9607845783,37.250000
9608843966,37.250000
9609842149,37.299999
9610840335,37.375000
9611838517,37.375000
9612836702,37.375000
9613834887,37.375000
9614833070,37.375000
9615831255,37.375000
9616829441,37.375000
9617827624,37.375000
9618825811,37.450001
9619823995,37.474998
9620822180,37.375000
9621820367,37.375000
9622818551,37.375000
9623816737,37.424999
9624814921,37.500000
9625813106,37.500000
9626811292,37.400002
9627809476,37.375000
9628807663,37.424999
9629805847,37.500000
9630804032,37.500000
9631802220,37.500000
9632800404,37.500000
9633798591,37.474998
9634796788,37.375000
9635794962,37.375000
9636793149,37.450001
9637791333,37.450001
9638789519,37.400002
9639787706,37.500000
9640785890,37.500000
9641784077,37.424999
9642782262,37.400002
9643780447,37.500000
9644778635,37.375000
9645776819,37.375000
9646775004,37.375000
9647773191,37.400002
9648771376,37.500000
9649769561,37.375000
9650767748,37.450001
