Timestamp (us),Percentage (%),Voltage (V),Charging Status
9598698337,93.618568,3.936186,0.000000
9599698869,93.590378,3.935904,0.000000
9600699401,93.594391,3.935944,0.000000
9601699933,93.579636,3.935796,0.000000
9602700464,93.575607,3.935756,0.000000
9603700995,93.591705,3.935917,0.000000
9604701526,93.527260,3.935273,0.000000
9605702060,93.538010,3.935380,0.000000
9606702591,93.548752,3.935487,0.000000
9607703124,93.519211,3.935192,0.000000
9608703655,93.499069,3.934991,0.000000
9609704186,93.499069,3.934991,0.000000
9610704748,93.508461,3.935085,0.000000
9611705283,93.500397,3.935004,0.000000
9612705816,93.523239,3.935232,0.000000
9613706347,93.508461,3.935085,0.000000
9614706883,93.505775,3.935058,0.000000
9615707416,93.469528,3.934695,0.000000
9616707949,93.457443,3.934575,0.000000
9617708481,93.478928,3.934789,0.000000
9618709024,93.461472,3.934615,0.000000
9619709556,93.462807,3.934628,0.000000
9620710089,93.480263,3.934803,0.000000
9621710620,93.468185,3.934682,0.000000
9622711151,93.456100,3.934561,0.000000
9623711717,93.468178,3.934682,0.000000
9624712247,93.477585,3.934776,0.000000
9625712779,93.446701,3.934467,0.000000
9626713310,93.469521,3.934695,0.000000
9627713841,93.462799,3.934628,0.000000
9628714373,93.453415,3.934534,0.000000
9629714904,93.414474,3.934144,0.000000
9630715436,93.414467,3.934144,0.000000
9631715967,93.371498,3.933715,0.000000
9632716500,93.391640,3.933917,0.000000
9633717031,93.388954,3.933889,0.000000
9634717564,93.392990,3.933930,0.000000
9635718098,93.388947,3.933889,0.000000
9636718629,93.403732,3.934037,0.000000
9637719201,93.407753,3.934078,0.000000
9638719737,93.359413,3.933594,0.000000
9639720269,93.366135,3.933661,0.000000
9640720802,93.366127,3.933661,0.000000
9641721334,93.370163,3.933702,0.000000
9642721868,93.339279,3.933393,0.000000
9643722401,93.356728,3.933568,0.000000
9644722932,93.347328,3.933473,0.000000
9645723463,93.364784,3.933648,0.000000
9646723995,93.370163,3.933701,0.000000
9647724526,93.350006,3.933500,0.000000
9648725057,93.355377,3.933554,0.000000
9649725591,93.341957,3.933420,0.000000
9650726122,93.348663,3.933486,0.000000
