Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9597924854,0.054034,0.683954,-0.609118
9597945292,-0.043966,0.634954,-0.609118
9597965728,0.005034,0.634954,-0.609118
9597986163,-0.092966,0.683954,-0.609118
9598006600,-0.043966,0.634954,-0.658118
9598027040,0.054034,0.634954,-0.658118
9598047474,-0.043966,0.634954,-0.658118
9598067911,0.005034,0.683954,-0.609118
9598088348,-0.043966,0.732954,-0.560118
9598108785,-0.141966,0.585954,-0.658118
9598129222,-0.092966,0.683954,-0.609118
9598149658,-0.092966,0.634954,-0.609118
9598170095,-0.141966,0.732954,-0.609118
9598190532,-0.092966,0.683954,-0.609118
9598210969,0.005034,0.683954,-0.609118
9598231405,-0.043966,0.683954,-0.560118
9598251843,-0.092966,0.585954,-0.609118
9598272279,-0.043966,0.585954,-0.609118
9598292715,-0.043966,0.634954,-0.658118
9598313151,-0.043966,0.683954,-0.658118
9598333587,-0.043966,0.732954,-0.609118
9598354024,-0.141966,0.585954,-0.609118
9598374460,-0.043966,0.634954,-0.658118
9598394897,0.005034,0.634954,-0.609118
9598415334,-0.092966,0.634954,-0.658118
9598435770,-0.043966,0.585954,-0.560118
9598456206,-0.092966,0.634954,-0.658118
9598476642,-0.092966,0.683954,-0.609118
9598497078,0.005034,0.683954,-0.658118
9598517514,-0.092966,0.683954,-0.560118
9598537950,0.005034,0.683954,-0.658118
9598558385,0.054034,0.683954,-0.805118
9598578821,0.152034,0.585954,-0.903118
9598599257,0.152034,0.683954,-0.707118
9598619692,0.152034,0.732954,-0.707118
9598640127,0.152034,0.732954,-0.609118
9598660562,0.103034,0.634954,-0.609118
9598680998,0.152034,0.683954,-0.609118
9598701434,0.201034,0.683954,-0.609118
9598721871,0.250034,0.732954,-0.658118
9598742306,0.250034,0.683954,-0.707118
9598762743,0.201034,0.536954,-0.609118
9598783181,0.152034,0.536954,-0.658118
9598803618,0.250034,0.585954,-0.560118
9598824055,0.201034,0.683954,-0.560118
9598844492,0.250034,0.536954,-0.609118
9598864929,0.054034,0.487954,-0.707118
9598885365,0.054034,0.487954,-0.658118
9598905802,0.152034,0.438954,-0.609118
9598926238,0.152034,0.487954,-0.462118
9598946675,0.103034,0.536954,-0.413118
9598967110,0.152034,0.585954,-0.364118
9598987547,0.348034,0.487954,-0.413118
9599007984,0.348034,0.438954,-0.315118
9599028420,0.299034,0.487954,-0.364118
9599048857,0.250034,0.585954,-0.266118
9599069293,0.348034,0.683954,-0.315118
9599089730,0.348034,0.781954,-0.266118
9599110170,0.446034,0.830954,-0.315118
9599130604,0.544034,0.879954,-0.217118
9599151041,0.593034,0.830954,-0.364118
9599171478,0.446034,1.075954,-0.266118
9599191915,0.544034,1.026954,-0.364118
9599212353,0.593034,1.075954,-0.315118
9599232790,0.446034,0.928954,0.027882
9599253227,0.495034,0.830954,0.370882
9599273664,0.495034,0.977954,0.566882
9599294102,0.446034,0.928954,0.615882
9599314540,0.348034,0.928954,0.713882
9599334978,0.348034,0.879954,0.713882
9599355416,0.446034,0.830954,0.615882
9599375854,0.495034,0.732954,0.321882
9599396292,0.397034,0.536954,0.223882
9599416729,0.397034,0.438954,0.174882
9599437168,0.397034,0.340954,0.125882
9599457605,0.348034,0.144954,-0.021118
9599478042,0.446034,0.291954,-0.070118
9599498480,0.299034,0.193954,-0.168118
9599518917,0.348034,0.144954,0.027882
9599539353,0.446034,0.046954,-0.070118
9599559791,0.348034,0.144954,-0.266118
9599580229,0.299034,0.242954,-0.070118
9599600666,0.299034,0.242954,0.370882
9599621104,0.446034,0.242954,0.419882
9599641542,0.495034,0.291954,0.272882
9599661980,0.250034,0.389954,0.076882
9599682417,0.299034,0.389954,0.125882
9599702855,0.348034,0.585954,0.125882
9599723292,0.250034,0.781954,0.076882
9599743729,0.348034,1.075954,0.076882
9599764167,0.446034,1.222954,-0.021118
9599784604,0.544034,1.320954,-0.168118
9599805043,0.544034,1.467954,-0.364118
9599825480,0.642034,1.516954,-0.413118
9599845917,0.544034,1.516954,-0.462118
9599866356,0.593034,1.418954,-0.511118
9599886793,0.544034,1.418954,-0.756118
9599907233,0.397034,1.320954,-0.658118
9599927672,0.446034,1.173954,-0.609118
9599948111,0.348034,1.124954,-0.462118
9599968550,0.397034,0.781954,-0.560118
9599988988,0.348034,0.732954,-0.413118
9600009428,0.348034,0.536954,-0.413118
9600029867,0.201034,0.536954,-0.413118
9600050307,0.348034,0.242954,-0.511118
9600070746,0.250034,0.242954,-0.511118
9600091183,0.299034,0.144954,-0.560118
9600111621,0.299034,0.095954,-0.413118
9600132060,0.299034,0.144954,-0.413118
9600152499,0.299034,0.095954,-0.315118
9600172938,0.250034,0.046954,-0.315118
9600193375,0.299034,0.046954,-0.511118
9600213814,0.299034,0.046954,-0.511118
9600234252,0.348034,0.046954,-0.511118
9600254692,0.397034,-0.002046,-0.462118
9600275132,0.348034,0.046954,-0.364118
9600295571,0.348034,0.095954,-0.413118
9600316010,0.397034,0.046954,-0.462118
9600336448,0.299034,0.095954,-0.511118
9600356887,0.397034,0.144954,-0.511118
9600377325,0.397034,0.242954,-0.560118
9600397763,0.495034,0.193954,-0.462118
9600418201,0.348034,0.438954,-0.413118
9600438640,0.397034,0.536954,-0.560118
9600459078,0.495034,0.732954,-0.560118
9600479516,0.544034,0.879954,-0.707118
9600499954,0.642034,0.977954,-0.609118
9600520393,0.544034,1.075954,-0.560118
9600540832,0.593034,1.222954,-0.462118
9600561272,0.593034,1.271954,-0.266118
9600581712,0.642034,1.369954,-0.266118
9600602152,0.495034,1.320954,-0.070118
9600622593,0.495034,1.271954,0.125882
9600643032,0.495034,1.173954,0.419882
9600663472,0.348034,1.271954,0.713882
9600683912,0.397034,1.222954,0.664882
9600704352,0.446034,1.075954,0.321882
9600724792,0.446034,0.977954,0.174882
9600745231,0.348034,0.536954,-0.119118
9600765670,0.299034,0.340954,-0.119118
9600786110,0.348034,0.340954,-0.021118
9600806549,0.299034,0.193954,-0.168118
9600826988,0.348034,0.144954,-0.217118
9600847425,0.348034,0.144954,-0.217118
9600867862,0.250034,0.144954,-0.119118
9600888299,0.299034,0.193954,-0.070118
9600908737,0.397034,0.144954,-0.021118
9600929174,0.446034,0.144954,-0.021118
9600949611,0.397034,0.144954,-0.070118
9600970048,0.348034,0.291954,-0.021118
9600990487,0.397034,0.340954,-0.070118
9601010924,0.348034,0.389954,-0.168118
9601031363,0.250034,0.487954,-0.168118
9601051801,0.250034,0.732954,-0.168118
9601072239,0.250034,1.075954,-0.021118
9601092676,0.495034,1.320954,0.076882
9601113114,0.544034,1.467954,0.174882
9601133551,0.593034,1.565954,0.076882
9601153988,0.593034,1.467954,-0.266118
9601174425,0.593034,1.369954,-0.462118
9601194862,0.691034,1.516954,-0.560118
9601215299,0.642034,1.565954,-0.560118
9601235736,0.495034,1.467954,-0.903118
