Timestamp (us),W Element,X Element,Y Element,Z Element
9597922164,0.409515,0.906176,0.030309,0.102310
9597924660,0.409506,0.906182,0.030292,0.102297
9597927156,0.409496,0.906188,0.030283,0.102288
9597929651,0.409484,0.906195,0.030273,0.102276
9597932147,0.409471,0.906202,0.030262,0.102263
9597934643,0.409458,0.906211,0.030250,0.102250
9597937138,0.409442,0.906219,0.030238,0.102236
9597939634,0.409425,0.906229,0.030227,0.102220
9597942130,0.409406,0.906240,0.030216,0.102203
9597944626,0.409386,0.906252,0.030204,0.102184
9597947121,0.409364,0.906265,0.030190,0.102163
9597949617,0.409345,0.906276,0.030174,0.102139
9597952113,0.409328,0.906288,0.030157,0.102111
9597954609,0.409312,0.906299,0.030138,0.102079
9597957104,0.409297,0.906310,0.030120,0.102044
9597959600,0.409282,0.906322,0.030103,0.102010
9597962096,0.409264,0.906334,0.030089,0.101977
9597964592,0.409247,0.906346,0.030078,0.101945
9597967088,0.409232,0.906356,0.030070,0.101912
9597969583,0.409221,0.906365,0.030063,0.101879
9597972079,0.409210,0.906374,0.030057,0.101848
9597974575,0.409197,0.906383,0.030053,0.101818
9597977071,0.409188,0.906392,0.030035,0.101784
9597979566,0.409178,0.906400,0.030021,0.101752
9597982062,0.409169,0.906408,0.030009,0.101725
9597984558,0.409162,0.906414,0.030000,0.101698
9597987053,0.409157,0.906420,0.029992,0.101672
9597989549,0.409154,0.906425,0.029982,0.101647
9597992045,0.409151,0.906429,0.029969,0.101621
9597994541,0.409150,0.906433,0.029954,0.101599
9597997036,0.409151,0.906435,0.029940,0.101582
9597999532,0.409150,0.906437,0.029925,0.101568
9598002028,0.409152,0.906438,0.029910,0.101554
9598004524,0.409153,0.906440,0.029892,0.101539
9598007019,0.409156,0.906442,0.029871,0.101519
9598009515,0.409157,0.906445,0.029847,0.101495
9598012011,0.409157,0.906448,0.029818,0.101469
9598014507,0.409157,0.906452,0.029784,0.101442
9598017002,0.409157,0.906457,0.029745,0.101411
9598019501,0.409155,0.906464,0.029702,0.101371
9598022000,0.409153,0.906471,0.029655,0.101326
