Timestamp (us),Percentage (%),Power (dBm)
9598568679,76.000000,-62.000000
9599557013,82.000000,-59.000000
9600558275,78.000000,-61.000000
9601556090,82.000000,-59.000000
9602556883,70.000000,-65.000000
9603560176,72.000000,-64.000000
9604565989,76.000000,-62.000000
9605569274,80.000000,-60.000000
9606564202,74.000000,-63.000000
9607565880,80.000000,-60.000000
9608556680,84.000000,-58.000000
9609564249,88.000000,-56.000000
9610570736,94.000000,-53.000000
9611555685,100.000000,-43.000000
9612557942,100.000000,-49.000000
9613550661,98.000000,-51.000000
9614564313,76.000000,-62.000000
9615559741,78.000000,-61.000000
9616558057,86.000000,-57.000000
9617553847,82.000000,-59.000000
9618562131,88.000000,-56.000000
9619560430,76.000000,-62.000000
9620567905,100.000000,-50.000000
9621557031,100.000000,-46.000000
9622552866,100.000000,-47.000000
9623558624,100.000000,-47.000000
9624569404,90.000000,-55.000000
9625555227,72.000000,-64.000000
9626564467,78.000000,-61.000000
9627559333,92.000000,-54.000000
9628562634,84.000000,-58.000000
9629568395,80.000000,-60.000000
9630559207,82.000000,-59.000000
9631562501,78.000000,-61.000000
9632566508,100.000000,-50.000000
9633560082,100.000000,-45.000000
9634559897,100.000000,-45.000000
9635576773,94.000000,-53.000000
9636551509,88.000000,-56.000000
9637553383,70.000000,-65.000000
9638563085,72.000000,-64.000000
9639564633,84.000000,-58.000000
9640557800,92.000000,-54.000000
9641565501,78.000000,-61.000000
9642558799,88.000000,-56.000000
9643553721,100.000000,-48.000000
9644563815,100.000000,-48.000000
9645571158,100.000000,-48.000000
9646564466,100.000000,-49.000000
9647560272,82.000000,-59.000000
9648561068,66.000000,-67.000000
9649554382,82.000000,-59.000000
9650552710,72.000000,-64.000000
