Timestamp (us),Percentage (%),Voltage (V),Charging Status
9598235009,73.143646,3.731436,0.000000
9599235540,73.126190,3.731262,0.000000
9600236071,73.114105,3.731141,0.000000
9601236628,73.107391,3.731074,0.000000
9602237159,73.096649,3.730967,0.000000
9603237690,73.095306,3.730953,0.000000
9604238221,73.064423,3.730644,0.000000
9605238751,73.080536,3.730806,0.000000
9606239312,73.083221,3.730832,0.000000
9607239842,73.091278,3.730913,0.000000
9608240374,73.080536,3.730806,0.000000
9609240903,73.084564,3.730846,0.000000
9610241435,73.069794,3.730698,0.000000
9611242005,73.071136,3.730711,0.000000
9612242536,73.044281,3.730443,0.000000
9613243067,73.063080,3.730631,0.000000
9614243597,73.056366,3.730564,0.000000
9615244128,73.061737,3.730618,0.000000
9616244659,72.982513,3.729825,0.000000
9617245189,73.017426,3.730174,0.000000
9618245720,73.052338,3.730523,0.000000
9619246251,73.060394,3.730604,0.000000
9620246786,73.030853,3.730309,0.000000
9621247316,73.024139,3.730241,0.000000
9622247846,73.038910,3.730389,0.000000
9623248376,73.028168,3.730282,0.000000
9624248906,73.034882,3.730349,0.000000
9625249442,72.994598,3.729946,0.000000
9626249972,73.005341,3.730053,0.000000
9627250503,72.973114,3.729731,0.000000
9628251032,72.994606,3.729946,0.000000
9629251566,72.979836,3.729798,0.000000
9630252136,72.973114,3.729731,0.000000
9631252667,72.959686,3.729597,0.000000
9632253199,72.997292,3.729973,0.000000
9633253730,73.003998,3.730040,0.000000
9634254259,72.991913,3.729919,0.000000
9635254789,72.963715,3.729637,0.000000
9636255322,72.986542,3.729865,0.000000
9637255854,72.982513,3.729825,0.000000
9638256383,72.981171,3.729812,0.000000
9639256913,72.939545,3.729396,0.000000
9640257444,72.962372,3.729624,0.000000
9641257975,72.943573,3.729436,0.000000
9642258507,72.948952,3.729490,0.000000
9643259036,72.944916,3.729450,0.000000
9644259579,72.936859,3.729369,0.000000
9645260110,72.955658,3.729557,0.000000
9646260640,72.951630,3.729516,0.000000
9647261170,72.927460,3.729275,0.000000
9648261701,72.946259,3.729463,0.000000
9649262237,72.901947,3.729020,0.000000
9650262768,72.923431,3.729234,0.000000
