Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9597915259,0.338051,-0.318671,-1.346498
9597934884,0.338051,-0.269671,-1.395498
9597954510,0.289051,-0.220671,-1.297498
9597974135,0.240051,-0.220671,-1.395498
9597993761,0.338051,-0.171671,-1.346498
9598013384,0.240051,-0.171671,-1.346498
9598033010,0.289051,-0.171671,-1.346498
9598052635,0.240051,-0.171671,-1.248498
9598072259,0.289051,-0.269671,-1.248498
9598091884,0.338051,-0.220671,-1.395498
9598111509,0.240051,-0.220671,-1.395498
9598131167,0.191051,-0.220671,-1.248498
9598150757,0.240051,-0.171671,-1.297498
9598170379,0.240051,-0.171671,-1.493498
9598190001,0.338051,-0.171671,-1.395498
9598209624,0.289051,-0.171671,-1.346498
9598229247,0.240051,-0.171671,-1.346498
9598248870,0.289051,-0.220671,-1.395498
9598268495,0.191051,-0.220671,-1.346498
9598288118,0.289051,-0.220671,-1.444498
9598307743,0.289051,-0.171671,-1.395498
9598327366,0.289051,-0.220671,-1.346498
9598346990,0.240051,-0.171671,-1.346498
9598366612,0.240051,-0.171671,-1.248498
9598386236,0.338051,-0.171671,-1.346498
9598405860,0.289051,-0.171671,-1.297498
9598425484,0.387051,-0.220671,-1.395498
9598445109,0.338051,-0.171671,-1.395498
9598464734,0.387051,-0.269671,-1.297498
9598484360,0.289051,-0.171671,-1.444498
9598503988,0.289051,-0.269671,-1.395498
9598523612,0.240051,-0.171671,-1.395498
9598543237,0.240051,-0.171671,-1.297498
9598562862,0.240051,-0.171671,-1.444498
9598582488,0.240051,-0.220671,-1.395498
9598602113,0.240051,-0.171671,-1.297498
9598621738,0.338051,-0.122671,-1.297498
9598641364,0.289051,-0.171671,-1.297498
9598660988,0.289051,-0.171671,-1.297498
9598680611,0.289051,-0.220671,-1.346498
9598700234,0.240051,-0.220671,-1.248498
9598719858,0.338051,-0.220671,-1.395498
9598739483,0.191051,-0.171671,-1.395498
9598759106,0.191051,-0.171671,-1.346498
9598778728,0.289051,-0.220671,-1.395498
9598798352,0.240051,-0.171671,-1.346498
9598817975,0.338051,-0.220671,-1.395498
9598837600,0.289051,-0.220671,-1.297498
9598857223,0.289051,-0.220671,-1.248498
9598876850,0.289051,-0.220671,-1.199498
9598896474,0.289051,-0.122671,-1.199498
9598916098,0.387051,-0.220671,-1.297498
9598935722,0.289051,-0.220671,-1.346498
9598955347,0.240051,-0.171671,-1.444498
9598974972,0.240051,-0.220671,-1.346498
9598994596,0.191051,-0.171671,-1.297498
9599014221,0.289051,-0.220671,-1.297498
9599033844,0.289051,-0.220671,-1.444498
9599053467,0.240051,-0.171671,-1.395498
9599073090,0.289051,-0.171671,-1.395498
9599092714,0.289051,-0.269671,-1.297498
9599112339,0.240051,-0.220671,-1.346498
9599131962,0.240051,-0.122671,-1.395498
9599151586,0.289051,-0.122671,-1.297498
9599171211,0.240051,-0.171671,-1.395498
9599190837,0.289051,-0.220671,-1.444498
9599210463,0.240051,-0.171671,-1.346498
9599230089,0.338051,-0.171671,-1.297498
9599249714,0.289051,-0.122671,-1.444498
9599269339,0.338051,-0.220671,-1.346498
9599288965,0.289051,-0.122671,-1.346498
9599308589,0.289051,-0.122671,-1.444498
9599328214,0.289051,-0.122671,-1.297498
9599347838,0.191051,-0.122671,-1.297498
9599367473,0.338051,-0.171671,-1.346498
9599387086,0.240051,-0.171671,-1.297498
9599406711,0.289051,-0.122671,-1.395498
9599426336,0.240051,-0.073671,-1.297498
9599445962,0.191051,-0.073671,-1.444498
9599465587,0.191051,-0.073671,-1.346498
9599485210,0.289051,-0.122671,-1.248498
9599504835,0.289051,-0.171671,-1.297498
9599524460,0.240051,-0.073671,-1.346498
9599544085,0.289051,-0.024671,-1.346498
9599563712,0.240051,-0.122671,-1.395498
9599583339,0.191051,-0.073671,-1.444498
9599602965,0.289051,-0.171671,-1.248498
9599622590,0.289051,-0.122671,-1.444498
9599642215,0.338051,-0.122671,-1.444498
9599661840,0.240051,-0.122671,-1.395498
9599681466,0.240051,-0.122671,-1.395498
9599701092,0.289051,-0.122671,-1.346498
9599720716,0.338051,-0.171671,-1.346498
9599740367,0.338051,-0.220671,-1.493498
9599759969,0.338051,-0.269671,-1.346498
9599779595,0.289051,-0.220671,-1.346498
9599799220,0.240051,-0.171671,-1.346498
9599818844,0.240051,-0.220671,-1.346498
9599838468,0.338051,-0.220671,-1.346498
9599858093,0.338051,-0.269671,-1.248498
9599877714,0.289051,-0.318671,-1.297498
9599897337,0.240051,-0.269671,-1.346498
9599916959,0.289051,-0.269671,-1.297498
9599936581,0.289051,-0.269671,-1.297498
9599956203,0.289051,-0.318671,-1.297498
9599975827,0.240051,-0.318671,-1.346498
9599995452,0.191051,-0.269671,-1.395498
9600015077,0.240051,-0.269671,-1.297498
9600034703,0.191051,-0.269671,-1.297498
9600054328,0.240051,-0.171671,-1.444498
9600073954,0.240051,-0.220671,-1.346498
9600093581,0.191051,-0.220671,-1.248498
9600113208,0.191051,-0.220671,-1.395498
9600132834,0.289051,-0.171671,-1.297498
9600152461,0.289051,-0.269671,-1.248498
9600172089,0.338051,-0.269671,-1.346498
9600191714,0.191051,-0.220671,-1.297498
9600211340,0.289051,-0.220671,-1.297498
9600230966,0.289051,-0.171671,-1.395498
9600250591,0.240051,-0.171671,-1.444498
9600270216,0.289051,-0.171671,-1.346498
9600289841,0.240051,-0.171671,-1.346498
9600309467,0.240051,-0.171671,-1.346498
9600329095,0.240051,-0.171671,-1.346498
9600348721,0.240051,-0.171671,-1.444498
9600368348,0.240051,-0.171671,-1.395498
9600387975,0.240051,-0.122671,-1.248498
9600407601,0.240051,-0.122671,-1.444498
9600427228,0.191051,-0.122671,-1.444498
9600446855,0.338051,-0.122671,-1.346498
9600466483,0.289051,-0.122671,-1.346498
9600486112,0.338051,-0.171671,-1.346498
9600505742,0.240051,-0.073671,-1.297498
9600525372,0.289051,-0.122671,-1.346498
9600545002,0.289051,-0.024671,-1.297498
9600564631,0.240051,-0.122671,-1.395498
9600584260,0.289051,-0.073671,-1.346498
9600603889,0.338051,-0.073671,-1.395498
9600623519,0.240051,-0.024671,-1.493498
9600643148,0.240051,-0.024671,-1.346498
9600662778,0.338051,-0.122671,-1.395498
9600682406,0.240051,0.024329,-1.297498
9600702035,0.289051,0.073329,-1.297498
9600721663,0.289051,0.024329,-1.493498
9600741290,0.338051,0.073329,-1.493498
9600760918,0.289051,0.171329,-1.346498
9600780548,0.240051,0.073329,-1.346498
9600800175,0.240051,0.171329,-1.346498
9600819803,0.338051,0.122329,-1.297498
9600839431,0.240051,0.171329,-1.444498
9600859059,0.191051,0.171329,-1.395498
9600878687,0.289051,0.073329,-1.395498
9600898313,0.289051,0.122329,-1.395498
9600917938,0.338051,0.220329,-1.199498
9600937561,0.240051,0.171329,-1.395498
9600957186,0.240051,0.122329,-1.395498
9600976812,0.240051,0.171329,-1.297498
9600996439,0.240051,0.122329,-1.444498
9601016066,0.240051,0.073329,-1.444498
9601035692,0.240051,0.122329,-1.493498
9601055317,0.191051,0.073329,-1.444498
9601074943,0.289051,0.122329,-1.346498
9601094568,0.289051,0.073329,-1.395498
9601114193,0.289051,-0.024671,-1.395498
9601133818,0.338051,-0.024671,-1.395498
9601153443,0.338051,-0.122671,-1.444498
9601173069,0.289051,-0.073671,-1.444498
9601192695,0.338051,-0.122671,-1.395498
9601212321,0.240051,-0.024671,-1.297498
9601231949,0.387051,-0.171671,-1.395498
9601251576,0.289051,-0.122671,-1.346498
9601271203,0.289051,-0.122671,-1.444498
9601290829,0.338051,-0.073671,-1.199498
9601310456,0.240051,-0.073671,-1.248498
9601330083,0.289051,-0.122671,-1.346498
9601349708,0.289051,-0.122671,-1.493498
9601369334,0.289051,-0.073671,-1.395498
9601388960,0.191051,-0.122671,-1.346498
9601408587,0.191051,-0.024671,-1.444498
9601428213,0.338051,-0.073671,-1.346498
9601447839,0.289051,-0.024671,-1.395498
9601467464,0.289051,-0.073671,-1.346498
9601487090,0.387051,-0.122671,-1.444498
9601506716,0.289051,-0.073671,-1.395498
9601526341,0.289051,-0.024671,-1.444498
9601545965,0.338051,-0.024671,-1.395498
9601565589,0.338051,-0.024671,-1.346498
9601585214,0.240051,-0.024671,-1.346498
9601604839,0.240051,-0.073671,-1.395498
9601624462,0.289051,-0.024671,-1.297498
9601644087,0.289051,-0.024671,-1.346498
9601663713,0.240051,0.024329,-1.395498
9601683338,0.240051,0.024329,-1.346498
9601702962,0.289051,-0.024671,-1.346498
9601722587,0.240051,0.024329,-1.395498
9601742212,0.240051,0.024329,-1.395498
9601761837,0.338051,-0.024671,-1.346498
9601781462,0.289051,0.024329,-1.346498
9601801087,0.289051,-0.024671,-1.493498
9601820712,0.289051,-0.024671,-1.395498
9601840337,0.289051,0.024329,-1.395498
9601859963,0.338051,0.024329,-1.395498
9601879590,0.240051,0.171329,-1.444498
9601899216,0.338051,0.024329,-1.297498
9601918843,0.338051,0.122329,-1.395498
9601938470,0.240051,0.171329,-1.346498
9601958096,0.338051,0.073329,-1.444498
9601977733,0.289051,0.171329,-1.395498
9601997349,0.289051,0.171329,-1.395498
9602016974,0.191051,0.220329,-1.346498
9602036601,0.240051,0.269329,-1.346498
9602056227,0.338051,0.171329,-1.297498
9602075853,0.240051,0.269329,-1.346498
9602095479,0.240051,0.318329,-1.248498
9602115103,0.289051,0.269329,-1.395498
9602134727,0.289051,0.220329,-1.346498
9602154352,0.240051,0.318329,-1.346498
9602173977,0.289051,0.220329,-1.248498
9602193603,0.338051,0.318329,-1.346498
9602213227,0.240051,0.269329,-1.346498
9602232852,0.289051,0.220329,-1.395498
9602252479,0.240051,0.269329,-1.395498
9602272104,0.289051,0.122329,-1.297498
9602291729,0.191051,0.122329,-1.444498
9602311354,0.240051,0.220329,-1.346498
9602330978,0.240051,0.171329,-1.346498
9602350630,0.240051,0.220329,-1.346498
9602370227,0.289051,0.073329,-1.395498
9602389851,0.289051,0.171329,-1.346498
9602409476,0.191051,0.122329,-1.248498
9602429103,0.191051,0.171329,-1.297498
9602448730,0.338051,-0.073671,-1.395498
9602468355,0.289051,0.024329,-1.346498
9602487981,0.338051,-0.024671,-1.346498
9602507608,0.289051,-0.024671,-1.346498
9602527231,0.240051,0.024329,-1.444498
9602546855,0.338051,-0.024671,-1.346498
9602566479,0.240051,-0.024671,-1.346498
9602586105,0.240051,-0.024671,-1.395498
9602605731,0.289051,-0.171671,-1.346498
9602625357,0.240051,-0.122671,-1.395498
9602644982,0.338051,-0.024671,-1.395498
9602664608,0.289051,-0.122671,-1.395498
9602684232,0.289051,-0.073671,-1.444498
9602703859,0.289051,-0.073671,-1.346498
9602723484,0.240051,-0.073671,-1.395498
9602743109,0.289051,-0.073671,-1.395498
9602762736,0.289051,-0.073671,-1.493498
9602782360,0.240051,-0.122671,-1.444498
9602801987,0.289051,-0.024671,-1.346498
9602821613,0.289051,-0.073671,-1.395498
9602841239,0.289051,0.024329,-1.297498
9602860863,0.191051,0.073329,-1.395498
9602880488,0.191051,0.024329,-1.444498
9602900114,0.240051,0.073329,-1.493498
9602919740,0.289051,0.122329,-1.444498
9602939367,0.240051,0.122329,-1.346498
9602958992,0.289051,0.122329,-1.346498
9602978618,0.240051,0.220329,-1.346498
9602998244,0.240051,0.073329,-1.444498
9603017869,0.338051,0.122329,-1.395498
9603037495,0.240051,0.171329,-1.395498
9603057120,0.338051,0.220329,-1.297498
9603076746,0.289051,0.220329,-1.395498
9603096373,0.240051,0.171329,-1.297498
9603115997,0.289051,-0.024671,-1.346498
9603135623,0.240051,0.024329,-1.395498
9603155248,0.240051,0.171329,-1.395498
9603174873,0.289051,0.171329,-1.444498
9603194498,0.240051,0.122329,-1.444498
9603214124,0.289051,0.073329,-1.395498
9603233748,0.191051,0.171329,-1.346498
9603253373,0.289051,0.024329,-1.444498
9603273000,0.338051,0.024329,-1.444498
9603292626,0.289051,0.122329,-1.395498
9603312252,0.142051,0.171329,-1.346498
9603331876,0.240051,0.122329,-1.444498
9603351502,0.338051,0.122329,-1.346498
9603371127,0.289051,0.122329,-1.346498
9603390753,0.240051,0.024329,-1.297498
9603410380,0.289051,0.122329,-1.493498
9603430008,0.240051,0.122329,-1.444498
9603449634,0.289051,0.024329,-1.297498
9603469261,0.289051,-0.122671,-1.395498
9603488887,0.289051,-0.122671,-1.444498
9603508512,0.289051,-0.171671,-1.395498
9603528138,0.289051,-0.220671,-1.395498
9603547764,0.191051,-0.171671,-1.395498
9603567390,0.240051,-0.171671,-1.346498
9603587015,0.289051,-0.220671,-1.395498
9603606641,0.191051,-0.220671,-1.346498
9603626267,0.289051,-0.318671,-1.248498
9603645894,0.240051,-0.318671,-1.346498
9603665520,0.338051,-0.318671,-1.395498
9603685146,0.387051,-0.465671,-1.444498
9603704772,0.289051,-0.367671,-1.248498
9603724398,0.240051,-0.416671,-1.199498
9603744024,0.289051,-0.416671,-1.199498
9603763650,0.289051,-0.465671,-1.297498
9603783277,0.191051,-0.465671,-1.199498
9603802904,0.289051,-0.563671,-1.150498
9603822531,0.191051,-0.514671,-1.297498
9603842156,0.240051,-0.661671,-1.101498
9603861782,0.240051,-0.661671,-1.150498
9603881408,0.240051,-0.710671,-1.101498
9603901035,0.289051,-0.563671,-0.954498
9603920660,0.289051,-0.710671,-1.052498
9603940286,0.093051,-0.808671,-0.954498
9603959910,0.387051,-0.710671,-0.807498
9603979535,0.289051,-0.759671,-0.905498
9603999163,0.289051,-0.808671,-0.856498
9604018791,0.240051,-0.857671,-0.807498
9604038419,0.240051,-0.857671,-0.758498
9604058046,0.289051,-0.808671,-0.709498
9604077672,0.240051,-0.906671,-0.807498
9604097300,0.240051,-0.857671,-0.660498
9604116926,0.240051,-0.857671,-0.660498
9604136553,0.240051,-0.906671,-0.660498
9604156179,0.436051,-0.857671,-0.611498
9604175803,0.387051,-0.955671,-0.513498
9604195428,0.338051,-0.906671,-0.513498
9604215055,0.240051,-0.906671,-0.366498
9604234675,0.387051,-1.004671,-0.317498
9604254301,0.289051,-1.004671,-0.268498
9604273927,0.289051,-0.906671,-0.268498
9604293551,0.240051,-0.955671,-0.317498
9604313175,0.191051,-1.004671,-0.268498
9604332800,0.289051,-0.955671,-0.268498
9604352427,0.142051,-0.906671,-0.219498
9604372052,0.191051,-0.955671,-0.170498
9604391677,0.338051,-0.955671,-0.121498
9604411302,0.338051,-1.004671,-0.121498
9604430929,0.289051,-0.955671,-0.023498
9604450554,0.387051,-0.857671,0.074502
9604470179,0.387051,-0.857671,-0.023498
9604489804,0.387051,-0.857671,-0.023498
9604509431,0.289051,-0.808671,0.025502
9604529055,0.289051,-0.808671,0.074502
9604548680,0.338051,-0.857671,0.025502
9604568305,0.289051,-0.808671,0.123502
9604587929,0.191051,-0.857671,0.172502
9604607555,0.289051,-0.857671,0.319502
9604627181,0.289051,-0.759671,0.319502
9604646807,0.240051,-0.710671,0.270502
9604666431,0.191051,-0.661671,0.368502
9604686057,0.240051,-0.710671,0.368502
9604705682,0.338051,-0.661671,0.270502
9604725307,0.142051,-0.563671,0.466502
9604744932,0.436051,-0.759671,0.515502
