Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9597903350,-0.221464,0.136551,0.085148,0.271347,-0.190970,-0.948547
9597905853,-0.221464,0.136551,0.085148,0.271319,-0.187339,-0.942683
9597908355,-0.221571,0.075324,0.024877,0.271294,-0.187344,-0.940494
9597910858,-0.161054,-0.047081,-0.034937,0.272765,-0.188812,-0.943408
9597913361,-0.161152,-0.108604,-0.155830,0.274251,-0.185913,-0.943368
9597915864,-0.100403,-0.109150,-0.216348,0.274291,-0.183722,-0.944810
9597918366,-0.100287,-0.048220,-0.216700,0.274274,-0.183725,-0.943351
9597920876,-0.039449,0.013055,-0.095703,0.274243,-0.186642,-0.943374
9597923372,-0.039342,0.074282,-0.035433,0.275011,-0.186641,-0.947013
9597925874,-0.100091,0.074827,0.025085,0.276440,-0.187391,-0.945544
9597928377,-0.100073,0.074233,-0.096159,0.274938,-0.190293,-0.944125
9597930879,-0.160919,0.013255,-0.156533,0.272079,-0.186613,-0.944857
9597933382,-0.161142,-0.108901,-0.216452,0.271393,-0.183686,-0.945571
9597935885,-0.221891,-0.108356,-0.155934,0.275044,-0.185179,-0.948460
9597938387,-0.221891,-0.108356,-0.155934,0.275745,-0.184466,-0.945529
9597940890,-0.221900,-0.108059,-0.095311,0.272063,-0.187344,-0.944133
9597943393,-0.161170,-0.108011,-0.034585,0.271403,-0.185866,-0.948506
9597945895,-0.161161,-0.108308,-0.095208,0.271394,-0.185868,-0.947777
9597948398,-0.161277,-0.169237,-0.094856,0.272824,-0.188072,-0.947778
9597950901,-0.161277,-0.169237,-0.094856,0.272856,-0.185883,-0.948490
9597953403,-0.221910,-0.107762,-0.034689,0.273623,-0.182246,-0.948453
9597955906,-0.282426,0.014643,0.025125,0.271458,-0.180036,-0.947730
9597958408,-0.221561,0.075027,-0.035745,0.268527,-0.182189,-0.947780
9597960920,-0.160919,0.013255,-0.156533,0.267743,-0.184375,-0.944888
9597963412,-0.100403,-0.109150,-0.216348,0.269906,-0.184404,-0.943405
9597965915,-0.100519,-0.170079,-0.215996,0.272118,-0.181513,-0.943357
9597968418,-0.039895,-0.231258,-0.215540,0.272142,-0.179326,-0.943340
9597970921,-0.039788,-0.170031,-0.155270,0.269938,-0.181488,-0.943381
9597973423,-0.100546,-0.169189,-0.034129,0.269905,-0.182949,-0.941934
