Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9597953924,-0.429986,-0.046205,1.569814
9598004917,-0.429966,-0.046023,1.579613
9598055913,-0.429904,-0.037163,1.579411
9598106916,-0.421133,-0.046393,1.569604
9598157909,-0.421133,-0.046393,1.569604
9598208905,-0.421048,-0.037362,1.579002
9598259900,-0.430064,-0.055259,1.560019
9598310885,-0.438872,-0.054720,1.579627
9598361866,-0.412350,-0.055416,1.569992
9598412859,-0.421093,-0.046028,1.589200
9598463854,-0.429982,-0.046217,1.569616
9598514853,-0.430044,-0.055077,1.569818
9598565860,-0.421171,-0.055082,1.579405
9598616859,-0.421130,-0.046404,1.569406
9598667854,-0.429986,-0.046205,1.569814
9598718838,-0.429966,-0.046023,1.579613
9598769826,-0.429982,-0.046217,1.569616
9598820818,-0.430002,-0.046400,1.559818
9598871804,-0.421211,-0.055446,1.559811
9598922773,-0.421148,-0.046345,1.570396
9598973741,-0.430171,-0.072785,1.570418
9599024715,-0.439020,-0.072610,1.570430
9599075686,-0.439003,-0.072416,1.580429
9599126653,-0.430310,-0.090698,1.560826
9599177619,-0.430256,-0.081816,1.561017
9599228587,-0.430478,-0.117085,1.571426
9599279558,-0.430544,-0.125934,1.571826
9599330532,-0.439495,-0.134984,1.552437
9599381502,-0.430683,-0.143847,1.562231
9599432462,-0.430806,-0.161567,1.562635
9599483435,-0.430946,-0.179478,1.553043
9599534409,-0.439630,-0.152906,1.542652
9599585388,-0.430691,-0.143827,1.562625
9599636366,-0.430576,-0.126320,1.551834
9599687349,-0.421620,-0.117046,1.581812
9599738323,-0.439073,-0.081492,1.570236
9599789297,-0.421175,-0.055070,1.579604
9599840268,-0.421068,-0.037545,1.569205
9599891253,-0.429790,-0.019663,1.568616
9599942229,-0.429674,-0.001919,1.568608
9599993203,-0.411995,-0.010777,1.588182
9600044171,-0.429720,-0.010583,1.578807
9600095148,-0.429821,-0.019808,1.559410
9600146114,-0.420952,-0.019801,1.569197
9600197089,-0.438749,-0.037000,1.579224
9600248063,-0.430085,-0.063754,1.579817
9600299035,-0.421407,-0.081992,1.561006
9600350001,-0.421608,-0.108765,1.551614
9600400964,-0.412924,-0.135337,1.562007
9600451928,-0.430701,-0.152352,1.581832
9600502888,-0.430946,-0.179478,1.553043
9600553847,-0.431236,-0.215273,1.534446
9600604804,-0.431490,-0.250697,1.535638
9600655759,-0.422961,-0.295370,1.526449
9600706716,-0.431993,-0.313462,1.497466
9600757676,-0.432178,-0.340042,1.498070
9600808637,-0.423510,-0.366802,1.498476
9600859584,-0.423715,-0.393564,1.489283
9600910540,-0.423735,-0.393746,1.479485
9600961497,-0.432608,-0.393748,1.469882
9601012455,-0.441331,-0.384171,1.498902
9601063418,-0.432343,-0.366439,1.508474
9601114379,-0.432154,-0.339866,1.507681
9601165336,-0.441007,-0.339684,1.507881
9601216290,-0.440802,-0.312922,1.517076
9601267247,-0.431740,-0.286131,1.536637
9601318205,-0.431684,-0.285795,1.555462
9601369165,-0.431653,-0.268782,1.516437
9601420127,-0.440593,-0.285948,1.536841
9601471092,-0.422923,-0.286685,1.516638
9601522055,-0.431912,-0.304420,1.507064
9601573022,-0.431912,-0.304420,1.507064
9601623985,-0.432011,-0.321964,1.517076
9601674953,-0.432190,-0.340236,1.487899
9601725915,-0.432265,-0.357391,1.518262
9601776881,-0.432444,-0.375664,1.489077
9601827845,-0.432608,-0.393748,1.469882
9601878809,-0.441707,-0.429008,1.470883
9601929771,-0.433045,-0.447447,1.442052
9601980730,-0.424369,-0.474214,1.442107
9602031690,-0.442296,-0.500804,1.423315
9602082656,-0.424638,-0.501519,1.403693
9602133613,-0.424618,-0.501337,1.413493
9602184568,-0.424745,-0.519054,1.414071
9602235538,-0.433403,-0.500618,1.442723
9602286501,-0.424489,-0.491936,1.442330
9602337466,-0.424271,-0.464985,1.461683
9602388424,-0.432931,-0.438031,1.471624
9602439391,-0.432650,-0.410739,1.509482
9602490350,-0.432476,-0.375830,1.479833
9602541315,-0.423412,-0.357572,1.518061
9602592277,-0.423166,-0.322132,1.517254
9602643244,-0.423068,-0.312901,1.536844
9602694210,-0.423002,-0.304048,1.536450
9602745180,-0.431973,-0.313280,1.507265
9602796150,-0.432015,-0.321957,1.517266
9602847112,-0.423293,-0.339846,1.517848
9602898074,-0.432387,-0.366798,1.489062
9602949040,-0.432526,-0.384706,1.479479
9603000013,-0.423718,-0.393559,1.489469
9603050977,-0.432673,-0.402603,1.470267
9603101962,-0.423756,-0.402241,1.499282
9603152945,-0.432604,-0.393754,1.469698
9603203930,-0.423677,-0.384881,1.479468
9603254914,-0.432427,-0.367163,1.469461
9603305894,-0.432114,-0.339501,1.527277
9603356875,-0.440806,-0.312915,1.517266
9603407864,-0.422678,-0.259558,1.545435
9603458855,-0.430995,-0.188137,1.563436
9603509836,-0.421448,-0.090669,1.571008
9603560824,-0.429826,-0.028109,1.589210
9603611806,-0.429068,0.078395,1.596592
9603662781,-0.428300,0.193178,1.573972
9603713768,-0.427582,0.299313,1.561756
9603764751,-0.409254,0.396095,1.540309
9603815733,-0.417457,0.509947,1.458927
9603866709,-0.407787,0.633444,1.436497
9603917690,-0.398179,0.764732,1.355249
9603968671,-0.415365,0.861110,1.274821
9604019653,-0.423492,0.992362,1.173803
9604070626,-0.431866,1.088174,1.073591
9604121601,-0.440342,1.166447,0.983583
9604172585,-0.448854,1.244322,0.873866
9604223545,-0.466331,1.313251,0.745066
9604274519,-0.457338,1.364266,0.636099
9604325495,-0.474896,1.407166,0.546693
9604376467,-0.501557,1.431828,0.409069
9604427448,-0.510426,1.456466,0.300547
9604478429,-0.519419,1.472026,0.172778
9604529413,-0.528492,1.469902,0.055188
9604580393,-0.537596,1.459649,-0.032797
9604631374,-0.546734,1.448993,-0.140405
9604682357,-0.556079,1.403261,-0.227632
9604733337,-0.556253,1.401871,-0.306149
9604784315,-0.556620,1.365049,-0.373795
9604835303,-0.557028,1.328150,-0.451394
9604886285,-0.566339,1.282533,-0.528698
9604937267,-0.575677,1.236767,-0.615873
9604988241,-0.585233,1.155714,-0.692338
9605039222,-0.577080,1.074790,-0.749659
9605090204,-0.577992,0.966541,-0.844761
9605141179,-0.596748,0.832949,-0.900759
9605192167,-0.615448,0.707984,-0.966510
9605243148,-0.607719,0.556443,-1.002145
9605294127,-0.617662,0.405652,-1.018453
9605345110,-0.618887,0.236972,-1.034526
9605396081,-0.628796,0.078020,-1.011133
9605447055,-0.638759,-0.089400,-0.968522
9605498029,-0.639683,-0.239314,-0.925183
9605549012,-0.658314,-0.380172,-0.892675
9605599969,-0.659105,-0.511796,-0.821182
9605650927,-0.668419,-0.590628,-0.780033
9605701885,-0.651232,-0.678493,-0.719470
9605752846,-0.660486,-0.756776,-0.648927
9605803806,-0.669636,-0.817520,-0.588606
9605854765,-0.669999,-0.887296,-0.528110
9605905723,-0.652575,-0.939738,-0.468373
9605956674,-0.679304,-0.982572,-0.418104
9606007623,-0.679404,-0.999947,-0.398244
9606058579,-0.670535,-0.999939,-0.388455
9606109537,-0.679395,-0.999936,-0.398174
9606160498,-0.679291,-0.974086,-0.437976
9606211457,-0.688108,-0.965243,-0.448042
9606262422,-0.705744,-0.947720,-0.477824
9606313375,-0.714530,-0.930372,-0.507617
9606364322,-0.714434,-0.896218,-0.577121
9606415279,-0.723118,-0.861331,-0.617124
9606466241,-0.731534,-0.782509,-0.677738
9606517199,-0.757761,-0.712567,-0.757849
9606568154,-0.774904,-0.624334,-0.798809
9606619114,-0.783288,-0.537015,-0.879085
9606670076,-0.800256,-0.413721,-0.940820
9606721032,-0.834797,-0.272539,-1.012453
9606771980,-0.860281,-0.112707,-1.026149
9606822933,-0.903378,0.056331,-1.039723
9606873902,-0.919771,0.242734,-1.043779
9606924864,-0.944884,0.438911,-1.008975
9606975824,-0.961031,0.644119,-0.954644
9607026773,-0.968183,0.850626,-0.822077
9607077726,-0.957529,1.066217,-0.660437
9607128686,-0.938143,1.255823,-0.459024
9607179646,-0.901325,1.392373,-0.226774
9607230599,-0.864720,1.494099,0.035610
9607281556,-0.828488,1.542185,0.279582
9607332522,-0.801621,1.519640,0.525168
9607383481,-0.792708,1.470098,0.732090
9607434439,-0.775480,1.349393,0.930991
9607485392,-0.784725,1.246349,1.100032
9607536350,-0.785705,1.071551,1.231627
9607587312,-0.795768,0.869766,1.334294
9607638275,-0.814968,0.632349,1.418176
9607689258,-0.826083,0.304678,1.425466
9607740233,-0.855263,-0.059165,1.374789
9607791201,-0.857908,-0.406699,1.275171
9607842177,-0.887133,-0.746142,1.106163
9607893153,-0.898284,-1.015785,0.896741
9607944120,-0.891365,-1.216002,0.626813
9607995097,-0.910179,-1.283877,0.294980
9608046070,-0.892701,-1.228214,-0.029898
9608097035,-0.909983,-1.082739,-0.327442
9608148006,-0.909004,-0.882790,-0.538036
9608198976,-0.898502,-0.610836,-0.681347
9608249949,-0.905236,-0.292605,-0.737601
9608300918,-0.876524,0.000345,-0.685370
9608351891,-0.865573,0.285387,-0.604002
9608402868,-0.863581,0.518797,-0.442255
9608453841,-0.870797,0.699822,-0.250261
9608504810,-0.842934,0.819014,-0.007888
9608555781,-0.824295,0.877140,0.275086
9608606749,-0.814946,0.873449,0.559623
9608657696,-0.815068,0.780886,0.826429
9608708646,-0.798035,0.616753,1.075285
9608759600,-0.763970,0.363100,1.296565
9608810555,-0.756981,0.071989,1.381437
9608861510,-0.759370,-0.265045,1.369668
9608912473,-0.744209,-0.587277,1.220090
9608963425,-0.737720,-0.857993,0.971193
9609014380,-0.730583,-1.023119,0.680830
9609065342,-0.731596,-1.082116,0.368461
9609116306,-0.722951,-1.034249,0.092855
9609167264,-0.722511,-0.905727,-0.145384
9609218217,-0.721663,-0.731992,-0.335628
9609269167,-0.702585,-0.495674,-0.478302
9609320120,-0.701053,-0.257544,-0.542636
9609371082,-0.681479,0.008087,-0.538818
9609422037,-0.679594,0.257629,-0.466056
9609472992,-0.677721,0.490562,-0.334145
9609523962,-0.667098,0.688918,-0.142490
9609574922,-0.665508,0.844462,0.118666
9609625885,-0.664642,0.894132,0.401968
9609676850,-0.637940,0.836876,0.687639
9609727821,-0.593957,0.717197,0.974459
9609778785,-0.524080,0.524909,1.194563
9609829755,-0.463330,0.313592,1.336547
9609880719,-0.438563,0.056106,1.342190
9609931682,-0.431787,-0.220183,1.270178
9609982641,-0.424983,-0.471364,1.118979
9610033607,-0.373558,-0.653633,0.907190
9610084571,-0.312756,-0.764829,0.713514
9610135539,-0.269056,-0.778948,0.478491
9610186498,-0.242170,-0.668487,0.250390
9610237463,-0.232556,-0.503967,0.050485
9610288425,-0.231317,-0.285202,-0.101532
9610339380,-0.220926,-0.030600,-0.225128
9610390343,-0.218975,0.261055,-0.270949
9610441299,-0.207953,0.554493,-0.208869
9610492270,-0.214857,0.804777,-0.106734
9610543235,-0.221808,1.013140,0.123864
9610594206,-0.255635,1.169177,0.375295
9610645167,-0.263634,1.210266,0.668520
9610696137,-0.289721,1.198362,0.953177
9610747112,-0.280943,1.114512,1.219798
9610798083,-0.281504,0.976552,1.428655
9610849056,-0.255929,0.792969,1.590251
9610900021,-0.275046,0.556209,1.712700
9610950991,-0.285928,0.255712,1.749185
9611001969,-0.278942,0.006165,1.685998
9611052945,-0.281030,-0.261821,1.574453
9611103911,-0.274307,-0.505407,1.354666
9611154865,-0.293883,-0.696410,1.074833
9611205831,-0.330867,-0.842942,0.783956
9611256800,-0.384647,-0.856407,0.480407
9611307762,-0.446843,-0.815983,0.205050
9611358724,-0.490490,-0.668505,-0.013920
9611409680,-0.515868,-0.458074,-0.165769
9611460644,-0.540846,-0.202614,-0.279350
9611511606,-0.565859,0.035838,-0.353240
9611562570,-0.581643,0.311052,-0.349786
9611613531,-0.579681,0.586280,-0.326688
9611664495,-0.577688,0.845027,-0.234471
9611715458,-0.566919,1.061508,-0.023706
9611766419,-0.547528,1.234242,0.227258
9611817383,-0.528576,1.328366,0.538903
9611868343,-0.483563,1.342736,0.881712
9611919306,-0.430740,1.206239,1.227626
9611970277,-0.387248,1.015949,1.526177
9612021235,-0.362448,0.717256,1.699388
9612072198,-0.355985,0.346809,1.806066
9612123162,-0.349618,-0.007951,1.804316
9612174126,-0.369897,-0.346473,1.694391
9612225092,-0.407829,-0.651028,1.485676
9612276053,-0.427430,-0.858842,1.255273
9612327012,-0.473285,-1.005386,0.954695
9612377977,-0.518505,-1.063146,0.661904
9612428944,-0.563254,-1.058519,0.387305
9612479914,-0.607579,-0.991879,0.111294
9612530881,-0.669171,-0.879650,-0.116657
9612581851,-0.721284,-0.686966,-0.297489
9612632821,-0.773166,-0.483954,-0.400074
9612683785,-0.815996,-0.254164,-0.483831
