Timestamp (us),Percentage (%),Power (dBm)
9598837667,76.000000,-62.000000
9599848040,80.000000,-60.000000
9600839499,72.000000,-64.000000
9601836998,82.000000,-59.000000
9602838699,78.000000,-61.000000
9603847271,88.000000,-56.000000
9604843130,84.000000,-58.000000
9605844040,78.000000,-61.000000
9606840434,90.000000,-55.000000
9607840212,84.000000,-58.000000
9608837519,78.000000,-61.000000
9609846192,80.000000,-60.000000
9610837135,94.000000,-53.000000
9611840698,98.000000,-51.000000
9612844387,96.000000,-52.000000
9613842817,90.000000,-55.000000
9614848916,92.000000,-54.000000
9615844949,78.000000,-61.000000
9616848499,76.000000,-62.000000
9617847063,80.000000,-60.000000
9618848123,86.000000,-57.000000
9619837462,86.000000,-57.000000
9620847769,100.000000,-49.000000
9621841317,92.000000,-54.000000
9622842378,100.000000,-49.000000
9623845983,100.000000,-50.000000
9624847003,80.000000,-60.000000
9625845637,76.000000,-62.000000
9626849124,76.000000,-62.000000
9627840140,76.000000,-62.000000
9628845952,68.000000,-66.000000
9629849770,68.000000,-66.000000
9630843323,80.000000,-60.000000
9631848201,88.000000,-56.000000
9632840438,100.000000,-49.000000
9633849708,98.000000,-51.000000
9634840056,88.000000,-56.000000
9635851313,92.000000,-54.000000
9636844789,92.000000,-54.000000
9637840735,90.000000,-55.000000
9638849303,82.000000,-59.000000
9639848980,86.000000,-57.000000
9640836440,84.000000,-58.000000
9641836727,100.000000,-50.000000
9642841031,94.000000,-53.000000
9643839620,92.000000,-54.000000
9644850659,100.000000,-47.000000
9645841741,90.000000,-55.000000
9646841211,94.000000,-53.000000
9647843861,80.000000,-60.000000
9648842702,78.000000,-61.000000
9649840975,80.000000,-60.000000
9650847022,80.000000,-60.000000
