Timestamp (us),Temperature (degC)
9598113573,28.500000
9599114631,28.500000
9600115690,28.500000
9601116749,28.500000
9602117808,28.500000
9603118867,28.500000
9604119926,28.549999
9605120985,28.600000
9606122044,28.500000
9607123104,28.500000
9608124164,28.575001
9609125224,28.625000
9610126284,28.600000
9611127343,28.500000
9612128401,28.500000
9613129462,28.575001
9614130521,28.625000
9615131581,28.625000
9616132641,28.500000
9617133701,28.500000
9618134761,28.500000
9619135821,28.500000
9620136881,28.500000
9621137941,28.625000
9622139001,28.625000
9623140061,28.575001
9624141122,28.500000
9625142182,28.500000
9626143242,28.500000
9627144304,28.575001
9628145365,28.625000
9629146426,28.625000
9630147486,28.625000
9631148546,28.625000
9632149607,28.549999
9633150667,28.549999
9634151728,28.625000
9635152788,28.500000
9636153847,28.500000
9637154907,28.575001
9638155968,28.625000
9639157028,28.625000
9640158089,28.500000
9641159149,28.600000
9642160210,28.575001
9643161270,28.500000
9644162331,28.500000
9645163391,28.500000
9646164452,28.575001
9647165512,28.575001
9648166573,28.525000
9649167634,28.625000
9650168694,28.625000
