Format Version,1.23,Take Name,pp5 straight,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-01-19 01.25.37.982 PM,Total Frames in Take,825,Total Exported Frames,825,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chair,chair,chair,chair,chair,chair,chair,chair,"chair:Marker1","chair:Marker1","chair:Marker1","chair:Marker1","chair:Marker2","chair:Marker2","chair:Marker2","chair:Marker2","chair:Marker3","chair:Marker3","chair:Marker3","chair:Marker3",r_arm,r_arm,r_arm,r_arm,r_arm,r_arm,r_arm,r_arm,"r_arm:Marker1","r_arm:Marker1","r_arm:Marker1","r_arm:Marker1","r_arm:Marker2","r_arm:Marker2","r_arm:Marker2","r_arm:Marker2","r_arm:Marker3","r_arm:Marker3","r_arm:Marker3","r_arm:Marker3","r_arm:Marker4","r_arm:Marker4","r_arm:Marker4","r_arm:Marker4",l_arm,l_arm,l_arm,l_arm,l_arm,l_arm,l_arm,l_arm,"l_arm:Marker1","l_arm:Marker1","l_arm:Marker1","l_arm:Marker1","l_arm:Marker2","l_arm:Marker2","l_arm:Marker2","l_arm:Marker2","l_arm:Marker3","l_arm:Marker3","l_arm:Marker3","l_arm:Marker3","l_arm:Marker4","l_arm:Marker4","l_arm:Marker4","l_arm:Marker4",chest,chest,chest,chest,chest,chest,chest,chest,"chest:Marker1","chest:Marker1","chest:Marker1","chest:Marker1","chest:Marker2","chest:Marker2","chest:Marker2","chest:Marker2","chest:Marker3","chest:Marker3","chest:Marker3","chest:Marker3",back,back,back,back,back,back,back,back,"back:Marker1","back:Marker1","back:Marker1","back:Marker1","back:Marker2","back:Marker2","back:Marker2","back:Marker2","back:Marker3","back:Marker3","back:Marker3","back:Marker3","back:Marker4","back:Marker4","back:Marker4","back:Marker4",Unlabeled 4790,Unlabeled 4790,Unlabeled 4790,Unlabeled 4794,Unlabeled 4794,Unlabeled 4794,Unlabeled 4795,Unlabeled 4795,Unlabeled 4795,Unlabeled 4796,Unlabeled 4796,Unlabeled 4796,Unlabeled 4797,Unlabeled 4797,Unlabeled 4797,Unlabeled 4799,Unlabeled 4799,Unlabeled 4799,Unlabeled 4800,Unlabeled 4800,Unlabeled 4800,Unlabeled 4801,Unlabeled 4801,Unlabeled 4801,Unlabeled 4802,Unlabeled 4802,Unlabeled 4802,Unlabeled 4806,Unlabeled 4806,Unlabeled 4806,Unlabeled 4807,Unlabeled 4807,Unlabeled 4807,Unlabeled 4808,Unlabeled 4808,Unlabeled 4808,Unlabeled 4809,Unlabeled 4809,Unlabeled 4809,back:Marker2,back:Marker2,back:Marker2,back:Marker3,back:Marker3,back:Marker3,back:Marker4,back:Marker4,back:Marker4,chair:Marker1,chair:Marker1,chair:Marker1,chair:Marker2,chair:Marker2,chair:Marker2,chair:Marker3,chair:Marker3,chair:Marker3,chest:Marker1,chest:Marker1,chest:Marker1,chest:Marker2,chest:Marker2,chest:Marker2,chest:Marker3,chest:Marker3,chest:Marker3,l_arm:Marker1,l_arm:Marker1,l_arm:Marker1,l_arm:Marker2,l_arm:Marker2,l_arm:Marker2,l_arm:Marker3,l_arm:Marker3,l_arm:Marker3,l_arm:Marker4,l_arm:Marker4,l_arm:Marker4,r_arm:Marker1,r_arm:Marker1,r_arm:Marker1,r_arm:Marker2,r_arm:Marker2,r_arm:Marker2,r_arm:Marker3,r_arm:Marker3,r_arm:Marker3,r_arm:Marker4,r_arm:Marker4,r_arm:Marker4
,ID,"59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","59EA9A0F9FEB11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","9DE0FB519FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","A74297D39FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","AD4209B79FEC11EE157A6E5D3DECBFB2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","85B02D1FB6B111EEE6F684623A8EC1B2","E0430","E0430","E0430","E04B0","E04B0","E04B0","E04C0","E04C0","E04C0","E04D0","E04D0","E04D0","E0500","E0500","E0500","E0450","E0450","E0450","E0510","E0510","E0510","E0520","E0520","E0520","E0530","E0530","E0530","E05A0","E05A0","E05A0","E0580","E0580","E0580","E04E0","E04E0","E04E0","E05D0","E05D0","E05D0","E02F0","E02F0","E02F0","DE970","DE970","DE970","E03A0","E03A0","E03A0","DC0C0","DC0C0","DC0C0","DC0D0","DC0D0","DC0D0","E02D0","E02D0","E02D0","DF8E0","DF8E0","DF8E0","DF790","DF790","DF790","E0210","E0210","E0210","E0260","E0260","E0260","E0290","E0290","E0290","DEBB0","DEBB0","DEBB0","DF860","DF860","DF860","DFDD0","DFDD0","DFDD0","E0390","E0390","E0390","E02A0","E02A0","E02A0","E02B0","E02B0","E02B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002300,0.008433,-0.001602,-0.999961,-0.795677,0.614256,-3.100484,0.000269,-0.845141,0.570328,-3.107854,0.972465,-0.735613,0.601561,-3.096653,0.979790,-0.806278,0.670877,-3.096944,0.992491,0.135629,-0.027586,-0.064840,0.988251,-1.109226,0.908484,-2.916422,0.001130,-1.106199,0.943467,-2.857697,0.875497,-1.113026,0.882989,-2.946227,0.892933,-1.129945,0.861945,-2.909223,0.867130,-1.087734,0.945534,-2.952541,0.905106,-0.010492,-0.145944,-0.002440,-0.989234,-0.558361,0.903521,-2.946041,0.000491,-0.561163,0.959822,-2.911804,0.851481,-0.542467,0.858261,-2.912556,0.816683,-0.557045,0.856143,-2.971855,0.771234,-0.572771,0.939858,-2.987949,0.830823,-0.009785,0.097328,-0.011131,0.995142,-0.800691,0.916852,-2.780523,0.000910,-0.846480,0.878305,-2.767436,0.893907,-0.824031,0.941781,-2.779229,0.951219,-0.731563,0.930470,-2.794905,0.935517,0.109710,0.985593,0.121363,-0.042912,-0.841191,1.084189,-3.017040,0.001071,-0.846759,1.032489,-3.019761,0.000000,-0.795756,1.132872,-3.012684,0.677945,-0.840283,1.026902,-3.033905,0.859379,-0.881965,1.144493,-3.001811,0.793546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.794551,1.133328,-3.012688,-0.840762,1.027175,-3.033794,-0.882461,1.143842,-3.001920,-0.844903,0.570463,-3.107825,-0.735794,0.601474,-3.096675,-0.806335,0.670829,-3.096952,-0.845566,0.878794,-2.767663,-0.824509,0.941748,-2.779137,-0.731999,0.930015,-2.794770,-0.559875,0.960522,-2.911565,-0.544293,0.858268,-2.912396,-0.554900,0.856111,-2.972647,-0.574279,0.939181,-2.987592,-1.106594,0.942287,-2.857647,-1.112323,0.883756,-2.946484,-1.130105,0.862705,-2.908145,-1.087881,0.945188,-2.953412
1,0.008333,0.002014,0.008432,-0.001568,-0.999961,-0.795688,0.614231,-3.100477,0.000269,-0.845155,0.570311,-3.107872,0.972465,-0.735624,0.601531,-3.096654,0.979790,-0.806285,0.670852,-3.096904,0.992491,0.136769,-0.027145,-0.069765,0.987770,-1.109931,0.909293,-2.915342,0.001270,-1.106449,0.944086,-2.856529,0.875497,-1.114035,0.883918,-2.945208,0.892933,-1.131082,0.862937,-2.908226,0.867130,-1.088157,0.946233,-2.951405,0.905106,-0.011562,-0.158181,0.000917,-0.987342,-0.558476,0.902403,-2.948583,0.001981,-0.560049,0.958680,-2.914229,0.851481,-0.542058,0.856998,-2.915550,0.816683,-0.558119,0.855048,-2.974471,0.771234,-0.573678,0.938886,-2.990083,0.830823,-0.009500,0.100220,-0.009537,0.994874,-0.800229,0.916838,-2.780529,0.000887,-0.845823,0.878139,-2.767211,0.893907,-0.823637,0.941694,-2.779075,0.951219,-0.731228,0.930681,-2.795301,0.935517,0.110515,0.985534,0.120750,-0.043924,-0.841549,1.084184,-3.016778,0.001082,-0.847191,1.032488,-3.019432,0.000000,-0.796041,1.132812,-3.012579,0.677945,-0.840755,1.026878,-3.033585,0.859379,-0.882209,1.144556,-3.001516,0.793546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.794820,1.133276,-3.012585,-0.841237,1.027150,-3.033473,-0.882708,1.143902,-3.001625,-0.844924,0.570446,-3.107843,-0.735802,0.601451,-3.096674,-0.806338,0.670797,-3.096913,-0.845089,0.878689,-2.767416,-0.824094,0.941485,-2.778962,-0.731505,0.930341,-2.795207,-0.559641,0.960204,-2.914094,-0.543652,0.855529,-2.915141,-0.552453,0.853714,-2.975385,-0.575467,0.939394,-2.990149,-1.106727,0.942965,-2.856626,-1.112993,0.884846,-2.945425,-1.131602,0.863343,-2.907064,-1.088399,0.946020,-2.952252
2,0.016667,0.002349,0.008749,-0.001601,-0.999958,-0.795672,0.614227,-3.100403,0.000250,-0.845131,0.570299,-3.107800,0.973125,-0.735610,0.601533,-3.096533,0.980458,-0.806274,0.670849,-3.096875,0.992285,0.145247,-0.024344,-0.067124,0.986816,-1.110143,0.909756,-2.914770,0.001210,-1.106666,0.943551,-2.855377,0.884104,-1.114197,0.884874,-2.945055,0.858782,-1.130976,0.863151,-2.908381,0.866351,-1.088732,0.947450,-2.950266,0.909354,-0.014296,-0.166242,0.001840,-0.985980,-0.559207,0.902627,-2.951941,0.001420,-0.560074,0.958729,-2.917277,0.841685,-0.542367,0.857011,-2.919414,0.779454,-0.559394,0.855406,-2.978073,0.410712,-0.574993,0.939362,-2.992998,0.813824,-0.009042,0.100072,-0.011258,0.994875,-0.799931,0.916560,-2.780308,0.001023,-0.845665,0.878014,-2.767028,0.905999,-0.823252,0.941497,-2.778848,0.948492,-0.730877,0.930168,-2.795050,0.955128,0.111720,0.985403,0.120194,-0.045309,-0.841900,1.084181,-3.016468,0.001089,-0.847654,1.032494,-3.019059,0.000000,-0.796281,1.132721,-3.012455,0.673396,-0.841275,1.026859,-3.033227,0.858998,-0.882389,1.144648,-3.001130,0.792576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.795073,1.133181,-3.012464,-0.841760,1.027163,-3.033107,-0.882888,1.143951,-3.001247,-0.844923,0.570417,-3.107775,-0.735779,0.601468,-3.096552,-0.806313,0.670796,-3.096882,-0.844683,0.878615,-2.767286,-0.823736,0.941364,-2.778740,-0.731375,0.929700,-2.794899,-0.559320,0.959712,-2.917170,-0.544051,0.856347,-2.919087,-0.554856,0.854169,-2.978884,-0.576823,0.939795,-2.992942,-1.106889,0.943119,-2.855071,-1.113902,0.885868,-2.944501,,,,-1.088804,0.946889,-2.951127
3,0.025000,0.002052,0.008428,-0.001575,-0.999961,-0.795671,0.614207,-3.100395,0.000271,-0.845137,0.570286,-3.107787,0.975976,-0.735607,0.601508,-3.096572,0.981817,-0.806269,0.670828,-3.096827,0.993385,0.142456,-0.026849,-0.084800,0.985796,-1.111525,0.911151,-2.913227,0.001405,-1.106802,0.945076,-2.853995,0.942521,-1.116487,0.886288,-2.943393,0.882535,-1.134013,0.865353,-2.906610,0.000000,-1.088797,0.947885,-2.948909,0.897003,-0.021319,-0.175151,-0.001706,-0.984309,-0.559773,0.903217,-2.955557,0.000767,-0.560282,0.958785,-2.920038,0.875663,-0.542131,0.857202,-2.924033,0.815998,-0.560206,0.856394,-2.982395,0.522685,-0.576471,0.940485,-2.995764,0.811800,-0.007743,0.102912,-0.009601,0.994614,-0.799499,0.916688,-2.780371,0.000841,-0.845041,0.877966,-2.766945,0.881995,-0.822885,0.941551,-2.778704,0.948720,-0.730570,0.930546,-2.795465,0.929955,0.110199,0.985541,0.121368,-0.042830,-0.842519,1.084458,-3.015963,0.000855,-0.848138,1.032763,-3.018682,0.000000,-0.797036,1.133096,-3.011607,0.676845,-0.841667,1.027169,-3.032825,0.853721,-0.883233,1.144803,-3.000737,0.783664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.796446,1.134003,-3.011445,-0.842279,1.027169,-3.032768,-0.883138,1.143992,-3.000940,-0.844904,0.570418,-3.107758,-0.735790,0.601428,-3.096593,-0.806318,0.670776,-3.096835,-0.844339,0.878497,-2.767144,-0.823299,0.941343,-2.778598,-0.730859,0.930224,-2.795371,-0.559129,0.959815,-2.920321,-0.543801,0.856212,-2.923341,-0.557839,0.856468,-2.983371,-0.578139,0.940364,-2.995272,-1.107042,0.943623,-2.853954,-1.114704,0.886723,-2.943594,-1.135016,0.866247,-2.905278,-1.089335,0.948010,-2.950081
4,0.033333,0.002216,0.008357,-0.001609,-0.999961,-0.795650,0.614183,-3.100333,0.000275,-0.845115,0.570257,-3.107704,0.973210,-0.735585,0.601489,-3.096514,0.979231,-0.806251,0.670804,-3.096782,0.993316,0.143842,-0.023589,-0.085005,0.985661,-1.112037,0.911864,-2.912118,0.001328,-1.106964,0.945594,-2.852804,0.863087,-1.117173,0.887099,-2.942336,0.824825,-1.134458,0.866031,-2.905515,0.837625,-1.089553,0.948730,-2.947819,0.875478,-0.025393,-0.183121,-0.004133,-0.982754,-0.559748,0.903457,-2.959554,0.000773,-0.559885,0.958706,-2.923536,0.840669,-0.541433,0.857231,-2.928731,0.784499,-0.560445,0.856873,-2.986799,0.746718,-0.577229,0.941018,-2.999151,0.824243,-0.008122,0.104307,-0.010631,0.994455,-0.799172,0.916738,-2.780261,0.001003,-0.844754,0.878120,-2.766671,0.892505,-0.822504,0.941649,-2.778551,0.943206,-0.730259,0.930445,-2.795561,0.948896,0.111025,0.985447,0.120752,-0.044568,-0.842888,1.084505,-3.015679,0.000836,-0.848579,1.032815,-3.018331,0.000000,-0.797333,1.133093,-3.011538,0.724933,-0.842168,1.027200,-3.032494,0.844525,-0.883474,1.144911,-3.000353,0.775121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.796806,1.134043,-3.011362,-0.842787,1.027189,-3.032436,-0.883309,1.144055,-3.000574,-0.844880,0.570383,-3.107676,-0.735778,0.601414,-3.096536,-0.806293,0.670753,-3.096790,-0.843946,0.878788,-2.766910,-0.822960,0.941335,-2.778424,-0.730612,0.930092,-2.795449,-0.558655,0.959716,-2.923605,-0.543133,0.856128,-2.927999,-0.558125,0.857309,-2.987716,-0.578941,0.940678,-2.998950,-1.107187,0.944243,-2.852801,-1.115517,0.887668,-2.942322,-1.135357,0.866806,-2.904408,-1.090087,0.948737,-2.948944
5,0.041667,0.002165,0.008508,-0.001568,-0.999960,-0.795634,0.614171,-3.100284,0.000286,-0.845100,0.570249,-3.107674,0.972365,-0.735571,0.601472,-3.096448,0.978901,-0.806232,0.670793,-3.096730,0.992639,0.144753,-0.017783,-0.079789,0.986085,-1.112220,0.912389,-2.910999,0.001377,-1.106971,0.946038,-2.851654,0.859125,-1.117354,0.887635,-2.941226,0.866036,-1.134020,0.866273,-2.904289,0.853078,-1.090534,0.949608,-2.946826,0.896134,-0.030630,-0.204224,-0.004639,-0.978434,-0.560440,0.904045,-2.962877,0.000716,-0.559023,0.958912,-2.926306,0.835339,-0.540816,0.857505,-2.933359,0.773468,-0.562312,0.857750,-2.990555,0.746072,-0.579608,0.942014,-3.001287,0.812974,-0.007115,0.106051,-0.011795,0.994265,-0.798957,0.916608,-2.780213,0.001041,-0.844590,0.878083,-2.766534,0.884941,-0.822219,0.941576,-2.778378,0.944970,-0.730062,0.930166,-2.795728,0.939421,0.112353,0.985117,0.121536,-0.046364,-0.843285,1.084535,-3.015588,0.000904,-0.849105,1.032863,-3.018317,0.000000,-0.797601,1.133009,-3.011523,0.698175,-0.842760,1.027261,-3.032514,0.843048,-0.883672,1.145006,-2.999996,0.777898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.796988,1.134033,-3.011338,-0.843385,1.027231,-3.032459,-0.883554,1.144153,-3.000214,-0.844860,0.570383,-3.107644,-0.735767,0.601396,-3.096470,-0.806276,0.670734,-3.096738,-0.843695,0.878757,-2.766793,-0.822679,0.941301,-2.778253,-0.730497,0.929767,-2.795594,-0.558079,0.959656,-2.927431,-0.542593,0.856202,-2.932832,-0.559851,0.858108,-2.991069,-0.581116,0.942183,-3.000193,-1.107383,0.944698,-2.851794,-1.116378,0.888541,-2.941371,-1.134416,0.866819,-2.902984,-1.090703,0.949496,-2.947845
